#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Manuel Neuer,POR,24,5,Schalke 04,2010
2,Marcell Jansen,MED,24,31,Hamburgo,2010
3,Arne Friedrich,DEF,31,72,Hertha Berlin,2010
4,Dennis Aogo,DEF,23,2,Hamburgo,2010
5,Serdar Tasci,DEF,23,12,Stuttgart,2010
6,Sami Khedira,MED,23,5,Stuttgart,2010
7,Bastian Schweinsteiger,MED,25,74,Bayern de Munich,2010
8,Mesut Ozil,MED,21,10,Werder Bremen,2010
9,Stefan Kießling,DEL,26,4,Bayer 04 Leverkusen,2010
10,Lukas Podolski,DEL,25,73,Koln,2010
11,Miroslav Klose,DEL,32,96,Bayern de Munich,2010
12,Tim Wiese,POR,28,2,Werder Bremen,2010
13,Thomas Muller,MED,20,2,Bayern de Munich,2010
14,Holger Badstuber,DEF,21,2,Bayern de Munich,2010
15,Piotr Trochowski,MED,26,31,Hamburgo,2010
16,Philipp Lahm,DEF,26,65,Bayern de Munich,2010
17,Per Mertesacker,DEF,25,62,Werder Bremen,2010
18,Toni Kroos,MED,20,4,Bayer 04 Leverkusen,2010
19,Cacau,DEL,29,8,Stuttgart,2010
20,Jerome Boateng,DEF,21,5,Hamburgo,2010
21,Marko Marin,MED,21,9,Werder Bremen,2010
22,Hans-Jorg Butt,POR,36,1,Bayern de Munich,2010
23,Mario Gomez,DEL,24,34,Bayern de Munich,2010
24,Joachim Low,DT,,,,2010
