#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Julio Cesar,POR,30,48,Inter de Milan,2010
2,Maicon,DEF,28,58,Inter de Milan,2010
3,Lucio,DEF,32,91,Inter de Milan,2010
4,Juan,DEF,31,74,Roma,2010
5,Felipe Melo,MED,26,18,Juventus,2010
6,Michel Bastos,DEF,26,5,Olympique de Lyon,2010
7,Elano,MED,28,43,Galatasaray,2010
8,Gilberto Silva,MED,33,88,Panathinaikos,2010
9,Luis Fabiano,DEL,29,38,Sevilla,2010
10,Kaka,MED,28,78,Real Madrid,2010
11,Robinho,DEL,26,75,Santos,2010
12,Gomes,POR,29,11,Tottenham Hotspur,2010
13,Dani Alves,DEF,27,35,Barcelona,2010
14,Luisão,DEF,29,42,Benfica,2010
15,Thiago Silva,DEF,26,9,AC Milan,2010
16,Gilberto,DEF,34,33,Cruzeiro,2010
17,Josue,MED,30,27,Wolfsburgo,2010
18,Ramires,MED,23,12,Benfica,2010
19,Julio Baptista,MED,28,46,Roma,2010
20,Kleberson,MED,30,31,Flamengo,2010
21,Nilmar,DEL,25,17,Villarreal,2010
22,Doni,POR,30,10,Roma,2010
23,Grafite,DEL,31,3,Wolfsburgo,2010
24,Dunga,DT,,,,2010
