#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Ri Myong-guk,POR,23,33,Pyongyang City,2010
2,Cha Jong-hyok,DEF,24,33,Amrokgang,2010
3,Ri Jun-il,DEF,22,26,Sobaeksu,2010
4,Pak Nam-chol,MED,24,31,4.25,2010
5,Ri Kwang-chon,DEF,24,37,4.25,2010
6,Kim Kum-il,MED,22,12,4.25,2010
7,An Chol-hyok,DEL,24,37,Rimyongsu,2010
8,Ji Yun-nam,DEF,33,28,4.25,2010
9,Jong Tae-se,DEL,26,23,Kawasaki Frontale,2010
10,Hong Yong-jo,DEL,28,65,FC Rostov,2010
11,Mun In-guk,MED,31,41,4.25,2010
12,Choe Kum-chol,DEL,23,21,4.25,2010
13,Pak Chol-jin,DEF,24,32,Amrokgang,2010
14,Pak Nam-chol,DEF,21,6,Amrokgang,2010
15,Kim Yong-jun,MED,26,85,Pyongyang City,2010
16,Nam Song-chol,DEF,28,51,4.25,2010
17,Ahn Young-hak,MED,31,27,Omiya Ardija,2010
18,Kim Myong-gil,POR,25,31,Amrokgang,2010
19,Ri Chol-myong,MED,22,4,Pyongyang City,2010
20,Kim Myong-Won,POR,26,10,Amrokgang,2010
21,Ri Kwang-hyok,DEF,22,0,Kyonggongop,2010
22,Kim Kyong-il,MED,21,3,Rimyongsu,2010
23,Pak Sung-hyok,MED,20,3,Sobaeksu,2010
24,Kim Jong-hun,DT,,,,2010
