#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Daniel Agyei,POR,20,2,Liberty Professionals,2010
2,Hans Sarpei,DEF,33,29,Bayer Leverkusen,2010
3,Asamoah Gyan,DEL,24,38,Stade Rennais,2010
4,John Pantsil,DEF,28,55,Fulham FC,2010
5,John Mensah,DEF,27,63,Sunderland,2010
6,Anthony Annan,MED,23,31,Rosenborg Ballklub,2010
7,Samuel Inkoom,DEF,21,15,FC Basilea,2010
8,Jonathan Mensah,DEF,19,3,Granada CF,2010
9,Derek Boateng,MED,27,21,Getafe CF,2010
10,Stephen Appiah,MED,29,64,Bologna,2010
11,Sulley Muntari,MED,25,52,Inter de Milan,2010
12,Prince Tagoe,DEL,23,17,Hoffenheim,2010
13,Andre Ayew,MED,20,20,AC Arles,2010
14,Matthew Amoah,DEL,29,41,NAC Breda,2010
15,Isaac Vorsah,DEF,21,13,Hoffenheim,2010
16,Stephen Ahorlu,POR,21,,Heart of Lions,2010
17,Ibrahim Ayew,DEF,22,6,Zamalek,2010
18,Dominic Adiyiah,DEL,20,5,Milan,2010
19,Lee Addy,DEF,24,9,Berekum Chelsea F.C.,2010
20,Quincy Owusu-Abeyie,DEL,24,12,Al-SADD,2010
21,Kwadwo Asamoah,MED,21,14,Udinese,2010
22,Richard Kingson,POR,32,78,Wigan Athletic,2010
23,Kevin Prince Boateng,DEL,23,,PORtsmouth FC,2010
24,Milovan Rajevac,DT,,,,2010
