#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Ricardo Canales,POR,27,2,Motagua,2010
2,Osman Chavez,DEF,25,26,Wisła Cracovia,2010
3,Maynor Figueroa,DEF,27,66,Wigan Athletic,2010
4,Johnny Palacios,DEF,23,4,Olimpia,2010
5,Victor Bernardez,DEF,28,40,Anderlecht,2010
6,Hendry Thomas,MED,25,39,Wigan Athletic,2010
7,Ramon Nuñez,MED,25,16,Leeds United,2010
8,Wilson Palacios,MED,25,69,Tottenham Hotspur,2010
9,Carlos Pavon,DEL,36,98,Real España,2010
10,Julio Cesar de Leon,DEL,30,73,Torino,2010
11,David Suazo,DEL,30,50,Inter de Milan,2010
12,Georgie Welcome,DEL,25,11,AS Monaco,2010
13,Roger Espinoza,DEL,23,10,Kansas City Wizards,2010
14,Oscar Boniek Garcia,DEF,25,42,Olimpia,2010
15,Walter Martinez,DEL,28,34,Marathon,2010
16,Mauricio Sabillon,DEF,31,25,Hangzhou Greentown,2010
17,Edgard Alvarez,MED,30,46,Bari,2010
18,Noel Valladares,POR,33,71,Olimpia,2010
19,Danilo Turcios,MED,32,82,Olimpia,2010
20,Amado Guevara,MED,34,133,Motagua,2010
21,Emilio Izaguirre,DEF,24,39,Motagua,2010
22,Donis Escober,POR,30,11,Olimpia,2010
23,Sergio Mendoza,DEF,29,3,Motagua,2010
24,Reynaldo Rueda,DT,,,,2010
