#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Oscar Perez,POR,37,49,Jaguares,2010
13,Guillermo Ochoa,POR,24,36,America,2010
23,Luis Ernesto Michel,POR,30,4,Guadalajara,2010
2,Francisco Rodriguez,DEF,28,45,PSV Eindhoven,2010
3,Carlos Salcido,DEF,30,70,PSV Eindhoven,2010
4,Rafael Marquez​,DEF,31,88,FC Barcelona,2010
5,Ricardo Osorio,DEF,30,74,VFB Stuttgart,2010
12,Paul Aguilar,DEF,24,7,Pachuca,2010
15,Hector Moreno,DEF,22,7,AZ Alkmaar,2010
16,Efrain Juarez,DEF,22,16,UNAM,2010
19,Jonny Magallon,DEF,28,50,Guadalajara,2010
20,Jorge Torres Nilo,DEF,22,6,Atlas,2010
6,Gerardo Torrado n. 1​,MED,31,112,Cruz Azul,2010
7,Pablo Barrera,MED,22,17,UNAM,2010
8,Israel Castro,MED,29,27,UNAM,2010
17,Giovani dos Santos,MED,21,23,Galatasaray,2010
18,Andres Guardado,MED,23,52,DePORtivo La Coruña,2010
22,Alberto MEDina,MED,27,53,Guadalajara,2010
9,Guillermo Franco,DEL,33,20,West Ham United,2010
10,Cuauhtemoc Blanco n. 1​,DEL,37,112,Veracruz,2010
11,Carlos Vela,DEL,21,24,Arsenal FC,2010
14,Javier Hernandez,DEL,22,8,Guadalajara,2010
21,Adolfo Bautista,DEL,31,31,Guadalajara,2010
24,Javier Aguirre,DT,,,,2010
