#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Mark Paston,POR,33,23,Wellington Phoenix,2010
2,Ben Sigmund,DEF,29,14,Wellington Phoenix,2010
3,Tony Lochhead,DEF,28,30,Wellington Phoenix,2010
4,Winston Reid,DEF,21,3,Midtjylland,2010
5,Ivan Vicelich,DEF,33,66,Auckland City,2010
6,Ryan Nelsen,DEF,32,41,Blackburn Rovers,2010
7,Simon Elliott,MED,36,63,Wellington Phoenix,2010
8,Tim Brown,MED,29,25,Wellington Phoenix,2010
9,Shane Smeltz,DEL,28,30,Gold Coast United,2010
10,Chris Killen,DEL,28,31,Middlesbrough,2010
11,Leo Bertos,MED,28,34,Wellington Phoenix,2010
12,Glen Moss,POR,27,15,Melbourne Victory,2010
13,Andy Barron,MED,29,11,Team Wellington,2010
14,Rory Fallon,DEL,28,7,Plymouth Argyle,2010
15,Michael McGlinchey,MED,23,5,Motherwell,2010
16,Aaron Clapham,MED,23,0,Canterbury United,2010
17,David Mulligan,MED,28,25,Auckland City,2010
18,Andrew Boyens,DEF,26,15,New York Red Bulls,2010
19,Tommy Smith,DEF,20,4,Ipswich Town,2010
20,Chris Wood,DEL,18,9,West Bromwich Albion,2010
21,Jeremy Christie,MED,27,22,Tampa Bay,2010
22,Jeremy Brockie,DEL,22,18,Newcastle United Jets,2010
23,James Bannatyne,POR,34,3,Team Wellington,2010
24,Ricki Herbert,DT,,,,2010
