#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Vladimir Stojković,POR,26,30,Wigan Athletic,2010
2,Antonio Rukavina,DEF,26,19,1860 Munich,2010
3,Aleksandar Kolarov,DEF,24,10,Lazio,2010
4,Gojko Kačar,CEN,23,15,Hertha Berlin,2010
5,Nemanja Vidić,DEF,28,44,Manchester United,2010
6,Branislav Ivanović,DEF,26,29,Chelsea,2010
7,Zoran Tošić,CEN,23,18,Manchester United,2010
8,Danko Lazović,DEL,27,34,Zenit San Petersburgo,2010
9,Marko Pantelić,DEL,31,29,Ajax de Amsterdam,2010
10,Dejan Stanković,CEN,31,86,Inter de Milan,2010
11,Nenad Milijaš,CEN,27,15,Wolverhampton Wanderers,2010
12,Bojan Isailović,POR,30,3,Zagłębie Lubin,2010
13,Aleksandar Luković,DEF,27,19,Udinese,2010
14,Milan Jovanović,CEN,29,24,Standard de Lieja,2010
15,Nikola Žigić,DEL,29,42,Valencia,2010
16,Ivan Obradović,DEF,21,10,Real Zaragoza,2010
17,Miloš Krasić,CEN,25,29,CSKA Moscu,2010
18,Miloš Ninković,CEN,25,7,Dinamo Kiev,2010
19,Radosav Petrović,CEN,21,6,Partizan Belgrado,2010
20,Neven Subotić,DEF,21,10,Borussia Dortmund,2010
21,Dragan Mrđa,DEL,26,3,Vojvodina,2010
22,Zdravko Kuzmanović,CEN,22,25,Stuttgart,2010
23,Anđelko Đuričić,POR,29,1,União Leiria,2010
24,Radomir Antić,DT,,,,2010
