#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Cedric Si MohaMED,POR,29,1,Constantine,2014
2,Madjid Bougherra,DEF,31,62,Lekhwiya,2014
3,Faouzi Ghoulam,DEF,23,6,Napoli,2014
4,Essaid Belkalem,DEF,25,13,Watford,2014
5,Rafik Halliche,DEF,27,29,Academica,2014
6,Djamel Mesbah,DEF,29,26,Livorno,2014
7,Hassan Yebda,CEN,30,25,Udinese,2014
8,MEDhi Lacen,CEN,30,30,Getafe,2014
9,Nabil Ghilas,DEL,24,5,PORto,2014
10,Sofiane Feghouli,DEL,24,19,Valencia,2014
11,Yacine Brahimi,CEN,24,6,Granada,2014
12,Carl MEDjani,DEF,29,26,Valenciennes,2014
13,Islam Slimani,DEL,25,20,SPORting de Lisboa,2014
14,Nabil Bentaleb,CEN,19,3,Tottenham Hotspur,2014
15,El Arbi Hillel Soudani,DEL,26,22,Dinamo Zagreb,2014
16,MohaMED Zemmamouche,POR,29,7,Alger,2014
17,Liassine Cadamuro,DEF,26,7,Mallorca,2014
18,AbDELmoumene Djabou,DEL,27,8,Club Africain,2014
19,Saphir Taider,CEN,22,11,Inter de Milan,2014
20,Aissa Mandi,DEF,22,2,Stade de Reims,2014
21,Riyad Mahrez,DEL,23,2,Leicester City,2014
22,Mehdi Mostefa,CEN,30,23,Ajaccio,2014
23,Rais M'Bolhi,POR,28,28,CSKA Sofia,2014
24,Vahid Halilhodžić,DT,,,,2014
