#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Sergio Romero,POR,27,47,Monaco,2014
2,Ezequiel Garay,DEF,27,13,Benfica,2014
3,Hugo Campagnaro,DEF,33,9,Inter de Milan,2014
4,Pablo Zabaleta,DEF,29,29,Manchester City,2014
5,Fernando Gago,MED,28,45,Boca Juniors,2014
6,Lucas Biglia,MED,28,13,Lazio,2014
7,Angel Di Maria,MED,26,40,Real Madrid,2014
8,Enzo Perez,MED,28,6,Benfica,2014
9,Gonzalo Higuain,DEL,26,34,Napoli,2014
10,Lionel Messi,DEL,26,84,Barcelona,2014
11,Maximiliano Rodriguez,MED,33,51,Newell's Old Boys,2014
12,Agustin Orion,POR,32,3,Boca Juniors,2014
13,Augusto Fernandez,MED,28,5,Celta de Vigo,2014
14,Javier Mascherano,MED,30,95,Barcelona,2014
15,Martin Demichelis,DEF,33,37,Manchester City,2014
16,Marcos Rojo,DEF,24,17,SPORting de Portugal,2014
17,Federico Fernandez,DEF,25,19,Napoli,2014
18,Rodrigo Palacio,DEL,32,16,Inter de Milan,2014
19,Ricardo Alvarez,MED,26,4,Inter de Milan,2014
20,Sergio Aguero,DEL,26,48,Manchester City,2014
21,Mariano Andujar,POR,30,8,Napoli,2014
22,Ezequiel Lavezzi,DEL,29,23,PSG,2014
23,Jose Basanta,DEF,30,4,Monterrey,2014
24,Alejandro Sabella,DT,59,,,2014
