#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Mathew Ryan,POR,22,,Club Brujas KV (BEL),2014
2,Mitchell Langerak,POR,26,,Borussia Dortmund (ALE),2014
3,Eugene Galekovic,POR,33,,ADELaide United (AUL),2014
4,Ivan Franjic,DEF,27,,Brisbane Roar (AUL),2014
5,Jason Davidson,DEF,23,,Heracles (HOL),2014
6,Matthew Spiranovic,DEF,26,,Western Sydney Wanderers (AUL),2014
7,Bailey Wright,DEF,22,,Preston North End (ING),2014
8,Ryan McGowan,DEF,25,,Shandong Luneng (CHN),2014
9,Alex Wilkinson,DEF,30,,Jeonbuk Hyundai Motors (CSR),2014
10,Mark Milligan,CEN,29,,Melbourne Victory (AUL),2014
11,Ben Halloran,CEN,22,,Fortuna Dusseldorf (ALE),2014
12,Tommy Oar,CEN,21,,FC Utrecht (HOL),2014
13,Oliver Bozanic,CEN,23,,FC Luzern (SUI),2014
14,James Troisi,CEN,24,,Atalanta (ITA),2014
15,Mile Jedinak,CEN,31,,Crystal Palace (ING),2014
16,James Holland,CEN,23,,Austria Viena (AUI),2014
17,Matt McKay,CEN,32,,Brisbane Roar (AUL),2014
18,Dario Vidosic,CEN,27,,ADELaide United (AUL),2014
19,Massimo Luongo,CEN,22,,Swindon Town (ING),2014
20,Mark Bresciano,CEN,34,,Qatar Stars League (QAT),2014
21,Tim Cahill,DEL,35,,New York Red Bulls (USA),2014
22,Mathew Leckie,DEL,23,,FC Ingolstadt (ALE),2014
23,Adam Taggart,DEL,21,,Newcastle United (ING),2014
24,Pim Verbeek,DT,,,,2014
