#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Claudio Bravo,POR,31,79,Real Sociedad,2014
2,Eugenio Mena,DEF,25,25,Santos,2014
3,Miiko Albornoz,DEF,23,2,Malmo,2014
4,Mauricio Isla,DEF,26,47,Juventus,2014
5,Francisco Silva,CEN,28,12,Osasuna,2014
6,Carlos Carmona,CEN,27,45,Atalanta,2014
7,Alexis Sanchez,DEL,25,67,Barcelona,2014
8,Arturo Vidal,CEN,27,54,Juventus,2014
9,Mauricio Pinilla,DEL,30,26,Cagliari,2014
10,Jorge Valdivia,CEN,30,57,Palmeiras,2014
11,Eduardo Vargas,DEL,24,30,Valencia,2014
12,Cristopher Toselli,POR,25,4,Universidad Catolica,2014
13,Jose Rojas,DEF,30,19,Universidad de Chile,2014
14,Fabian Orellana,DEL,28,26,Celta de Vigo,2014
15,Jean Beausejour,CEN,30,60,Wigan Athletic,2014
16,Felipe Gutierrez,CEN,23,18,Twente,2014
17,Gary MEDel,DEF,26,61,Cardiff City,2014
18,Gonzalo Jara,DEF,28,65,Nottingham Forest,2014
19,Jose Pedro Fuenzalida,CEN,29,23,Colo-Colo,2014
20,Charles Aranguiz,CEN,25,21,Internacional,2014
21,Marcelo Diaz,CEN,27,21,Basel,2014
22,Esteban Paredes,DEL,33,35,Colo-Colo,2014
23,Johnny Herrera,POR,33,8,Universidad de Chile,2014
24,Marcelo Bielsa,DT,,,,2014
