#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Maximo Banguera,POR,28,25,Barcelona,2014
2,Jorge Guagua,DEF,32,59,Emelec,2014
3,Frickson Erazo,DEF,26,37,Flamengo,2014
4,Juan Carlos Paredes,DEF,26,38,Watford,2014
5,Renato Ibarra,CEN,23,18,Vitesse,2014
6,Christian Noboa,CEN,29,42,Dinamo Moscu,2014
7,Jefferson Montero,CEN,24,40,Swansea City,2014
8,Edison Mendez,CEN,35,111,Independiente Santa Fe,2014
9,Joao Rojas,DEL,24,30,Cruz Azul,2014
10,Walter Ayovi,DEF,34,90,Pachuca,2014
11,Felipe Caicedo,DEL,25,50,Espanyol,2014
12,Adrian Bone,POR,25,3,El Nacional,2014
13,Enner Valencia,DEL,24,10,West Ham United,2014
14,Oswaldo Minda1,CEN,30,18,Chivas USA,2014
15,Michael Arroyo,CEN,27,20,Atlante,2014
16,Antonio Valencia,CEN,28,71,Manchester United,2014
17,Jaime Ayovi,DEL,26,30,Godoy Cruz,2014
18,Oscar Bagui,DEF,31,21,Emelec,2014
19,Luis Fernando Saritama,CEN,30,49,Barcelona SC,2014
20,FiDEL Martinez,CEN,24,8,Tijuana,2014
21,Gabriel Achilier,DEF,29,23,Emelec,2014
22,Alexander Dominguez,POR,27,18,LDU Quito,2014
23,Carlos Gruezo,CEN,19,3,Stuttgart,2014
24,Reinaldo Rueda,DT,,,,2014
