#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Iker Casillas,POR,33,154,Real Madrid,2014
2,Raul Albiol,DEF,28,46,Napoli,2014
3,Gerard Pique,DEF,27,60,Barcelona,2014
4,Javi Martinez,DEF,25,17,Bayern de Munich,2014
5,Juanfran,DEF,29,8,Atletico de Madrid,2014
6,Andres Iniesta,CEN,30,97,Barcelona,2014
7,David Villa,DEL,32,96,Atletico de Madrid,2014
8,Xavi Hernandez,CEN,34,132,Barcelona,2014
9,Fernando Torres,DEL,30,107,Chelsea,2014
10,Cesc Fàbregas,CEN,27,89,Barcelona,2014
11,Pedro Rodriguez,DEL,26,40,Barcelona,2014
12,David de Gea,POR,23,1,Manchester United,2014
13,Juan Mata,CEN,26,33,Manchester United,2014
14,Xabi Alonso,CEN,32,111,Real Madrid,2014
15,Sergio Ramos,DEF,28,117,Real Madrid,2014
16,Sergio Busquets,CEN,25,66,Barcelona,2014
17,Koke,CEN,22,8,Atletico de Madrid,2014
18,Jordi Alba,DEF,25,26,Barcelona,2014
19,Diego Costa,DEL,25,2,Atletico de Madrid,2014
20,Santi Cazorla,CEN,29,64,Arsenal,2014
21,David Silva,CEN,28,80,Manchester City,2014
22,Cesar Azpilicueta,DEF,24,6,Chelsea,2014
23,Pepe Reina,POR,31,32,Napoli,2014
24,Vicente DEL Bosque,DT,,,,2014
