#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Rahman Ahmadi,POR,,,Sepahan,2014
2,Khosro Heydari,DEL,,,Esteghlal,2014
3,Ehsan Hajsafi,CEN,,,Sepahan,2014
4,Jalal Hosseini,DEF,,,Persepolis,2014
5,Amir Hossein Sadeghi,DEF,,,Esteghlal,2014
6,Javad Nekounam,CEN,,,Al-Kuwait,2014
7,Masoud Shojaei,DEL,,,Las Palmas,2014
8,Reza Haghighi,CEN,,,Persepolis,2014
9,Alireza Jahanbakhsh,DEL,,,NEC,2014
10,Karim Ansarifard,DEL,,,Persepolis,2014
11,Ghasem Hadadifar,CEN,,,Zob Ahan,2014
12,Alireza Haghighi,POR,,,SPORting Covilhã,2014
13,Hossein Mahini,DEF,,,Persepolis,2014
14,Andranik Teymourian,CEN,,,Esteghlal,2014
15,Pejman Montazeri,DEF,,,Umm Salal,2014
16,Reza Ghoochannejhad,DEL,,,Charlton Athletic,2014
17,Ahmad Alenemeh,DEF,,,Naft Tehran,2014
18,Bakhtiar Rahmani,CEN,,,Foolad,2014
19,Hashem Beikzadeh,DEF,,,Esteghlal,2014
20,Steven Beitashour,DEF,,,Vancouver Whitecaps,2014
21,Ashkan Dejagah,DEL,,,Fulham,2014
22,Daniel Davari,POR,,,Eintracht Braunschweig,2014
23,Mehrdad Pouladi,DEF,,,Persepolis,2014
24,Carlos Queiroz,DT,,,,2014
