#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Eiji Kawashima,POR,31,56,Standard de Lieja,2014
2,Atsuto Uchida,DEF,26,68,Schalke 04,2014
3,Gotoku Sakai,DEF,23,12,Stuttgart,2014
4,Keisuke Honda,DEL,27,56,Milan,2014
5,Yuto Nagatomo,DEF,27,70,Internazionale,2014
6,Masato Morishige,DEF,27,10,Tokyo,2014
7,Yasuhito Endo,CEN,34,144,Gamba Osaka,2014
8,Hiroshi Kiyotake,DEL,24,25,Nuremberg,2014
9,Shinji Okazaki,DEL,28,76,Maguncia 05,2014
10,Shinji Kagawa,DEL,25,57,Manchester United,2014
11,Yoichiro Kakitani,DEL,24,12,Cerezo Osaka,2014
12,Shusaku Nishikawa,POR,27,13,Urawa Reds,2014
13,Yoshito Okubo,DEL,32,57,Kawasaki Frontale,2014
14,Toshihiro Aoyama,CEN,28,6,Sanfrecce Hiroshima,2014
15,Yasuyuki Konno,DEF,31,81,Gamba Osaka,2014
16,Hotaru Yamaguchi,CEN,23,12,Cerezo Osaka,2014
17,Makoto Hasebe,CEN,30,78,Nuremberg,2014
18,Yuya Osako,DEL,24,9,1860 Munich,2014
19,Masahiko Inoha,DEF,28,21,Jubilo Iwata,2014
20,Manabu Saito,DEL,24,5,Yokohama F. Marinos,2014
21,Hiroki Sakai,DEF,24,18,Hannover 96,2014
22,Maya Yoshida,DEF,25,41,Southampton,2014
23,Shuichi Gonda,POR,25,2,Tokyo,2014
24,Alberto Zaccheroni,DT,,,,2014
