#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Igor Akinfeyev,POR,,,CSKA Moscu,2014
2,Aleksei Kozlov,DEF,,,Dinamo Moscu,2014
3,Gueorgui Schennikov,DEF,,,CSKA Moscu,2014
4,Serguei Ignashevich,DEF,,,CSKA Moscu,2014
5,Andrei Semionov,DEF,,,Terek Grozny,2014
6,Maksim Kaninnikov,DEL,,,Amkar Perm,2014
7,Igor Denisov,CEN,,,Dinamo Moscu,2014
8,Denis Glushakov,CEN,,,Spartak Moscu,2014
9,Aleksandr Kokorin,DEL,,,Dinamo Moscu,2014
10,Alan Dzagoyev,CEN,,,CSKA Moscu,2014
11,Aleksandr Kerzhakov,DEL,,,Zenit San Petersburgo,2014
12,Yuri Lodyguin,POR,,,Zenit San Petersburgo,2014
13,Vladimir Granat,DEF,,,Dinamo Moscu,2014
14,Vasili Berezutski,DEL,,,Guangzhou,2014
15,Pavel Moguilevets1,CEN,,,Rubin Kazan,2014
16,Serguei Ryzhikov,POR,,,Rubin Kazan,2014
17,Oleg Shatov,CEN,,,Zenit San Petersburgo,2014
18,Yuri Zhirkov,CEN,,,Dinamo Moscu,2014
19,Aleksandr Samedov,DEL,,,Lokomotiv Moscu,2014
20,Viktor Faizulin,CEN,,,Zenit San Petersburgo,2014
21,Aleksei Ionov,DEL,,,Dinamo Moscu,2014
22,Andrei Yeschenko,DEF,,,Anzhi Makhachkala,2014
23,Dmitri Kombarov,DEF,,,Spartak Moscu,2014
24,Fabio Capello,DT,,,,2014
