#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Fernando Muslera,POR,27,59,Galatasaray,2014
2,Diego Lugano,DEF,33,94,West Bromwich Albion,2014
3,Diego Godin,DEF,28,77,Atletico de Madrid,2014
4,Jorge Fucile,DEF,29,42,FC PORto,2014
5,Walter Gargano,CEN,29,63,Parma FC,2014
6,Alvaro Pereira,CEN,28,57,São Paulo,2014
7,Cristian Rodriguez,CEN,28,74,Atletico de Madrid,2014
8,Abel Hernandez,DEL,23,13,UC Palermo,2014
9,Luis Suarez,DEL,27,77,Liverpool,2014
10,Diego Forlan,DEL,35,111,Cerezo Osaka,2014
11,Christian Stuani,DEL,27,11,RCD Español,2014
12,Rodrigo Muñoz,POR,32,0,Libertad,2014
13,Jose Maria Gimenez,DEF,19,6,Atletico de Madrid,2014
14,Nicolas Lodeiro,CEN,25,27,Botafogo,2014
15,Diego Perez,CEN,34,89,Bologna,2014
16,Maximiliano Pereira,DEF,30,91,SL Benfica,2014
17,Egidio Arevalo Rios,CEN,32,56,Monarcas Morelia,2014
18,Gaston Ramirez,CEN,23,29,Southampton FC,2014
19,Sebastian Coates,DEF,23,15,Nacional,2014
20,Alvaro Gonzalez,CEN,29,44,SS Lazio,2014
21,Edinson Cavani,DEL,27,63,Paris Saint-Germain,2014
22,Martin Caceres,DEF,27,58,Juventus,2014
23,Martin Silva,POR,31,4,Vasco da Gama,2014
24,Oscar Washington Tabarez,DT,,,,2014
