#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Kim Seung-gyu,POR,27,33,Vissel Kobe,2018
2,Lee Yong,DEF,31,28,Jeonbuk Hyundai Motors,2018
3,Jung Seung-hyun,DEF,24,6,Sagan Tosu,2018
4,Oh Ban-suk,DEF,30,2,Jeju United,2018
5,Yun Young-sun,DEF,29,6,Seongnam FC,2018
6,Park Joo-ho,DEF,31,36,Ulsan Hyundai,2018
7,Son Heung-min,DEL,25,67,Tottenham Hotspur,2018
8,Ju Se-jong,MED,27,11,Ansan Mugunghwa,2018
9,Kim Shin-wook,DEL,30,50,Jeonbuk Hyundai Motors,2018
10,Lee Seung-woo,MED,20,4,Hellas Verona,2018
11,Hwang Hee-chan,DEL,22,14,Red Bull Salzburg,2018
12,Kim Min-Woo,DEF,28,20,Sangju Sangmu,2018
13,Koo Ja-cheol,MED,29,68,FC Augsburg,2018
14,Hong Chul,DEF,27,14,Sangju Sangmu,2018
15,Jung Woo-young,MED,28,30,Vissel Kobe,2018
16,Ki Sung-yueng,MED,29,102,Swansea City,2018
17,Lee Jae-sung,MED,25,35,Jeonbuk Hyundai Motors,2018
18,Moon Seon-min,MED,26,3,Incheon United,2018
19,Kim Young-Gwon,DEF,28,53,Guangzhou Evergrande,2018
20,Jang Hyun-soo,DEF,26,51,FC Tokyo,2018
21,Kim Jin-hyeon,POR,30,15,Cerezo Osaka,2018
22,Go Yo-Han,DEF,30,20,FC Seoul,2018
23,Cho Hyun-woo,POR,26,6,Daegu FC,2018
24,Shin Tae-yong,DT,,,,2018
