#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Keylor Navas,POR,31,80,Real Madrid,2018
2,Johnny Acosta,DEF,34,68,Aguilas Doradas,2018
3,Giancarlo Gonzalez,DEF,30,69,Bologna,2018
4,Ian Smith,DEF,20,3,IFK Norrkoping,2018
5,Celso Borges,MED,30,112,Deportivo La Coruña,2018
6,Oscar Duarte,DEF,29,38,Español,2018
7,Christian Bolaños,MED,34,80,Deportivo Saprissa,2018
8,Bryan Oviedo,DEF,28,43,Sunderland,2018
9,Daniel Colindres,MED,33,11,Deportivo Saprissa,2018
10,Bryan Ruiz,MED,32,109,Sporting de Lisboa,2018
11,Johan Venegas,DEL,29,46,Deportivo Saprissa,2018
12,Joel Campbell,DEL,25,76,Real Betis,2018
13,Rodney Wallace,MED,29,30,New York City,2018
14,Randall Azofeifa,MED,33,57,Herediano,2018
15,Francisco Calvo,DEF,25,37,Minnesota United,2018
16,Cristian Gamboa,DEF,28,67,Celtic,2018
17,Yeltsin Tejeda,MED,26,50,Lausanne-Sport,2018
18,Patrick Pemberton,POR,36,39,Liga Deportiva Alajuelense,2018
19,Kendall Waston,DEF,30,26,Vancouver Whitecaps,2018
20,David Guzman,MED,28,42,Portland Timbers,2018
21,Marco Ureña,DEL,28,63,Los Angeles FC,2018
22,Kenner Gutierrez,DEF,29,9,Liga Deportiva Alajuelense,2018
23,Leonel Moreira,POR,29,9,Herediano,2018
24,Oscar Ramirez,DT,,,,2018
