#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Dominik Livaković,POR,23,1,Dinamo Zagreb,2018
2,Šime Vrsaljko,DEF,26,35,Atletico de Madrid,2018
3,Ivan Strinić,DEF,30,43,Sampdoria,2018
4,Ivan Perišić,DEL,29,66,Inter de Milan,2018
5,Vedran Ćorluka,DEF,32,99,Lokomotiv Moscu,2018
6,Dejan Lovren,DEF,28,39,Liverpool,2018
7,Ivan Rakitić,MED,30,92,FC Barcelona,2018
8,Mateo Kovačić,MED,24,41,Real Madrid,2018
9,Andrej Kramarić,DEL,26,31,TSG Hoffenheim,2018
10,Luka Modrić,MED,32,106,Real Madrid,2018
11,Marcelo Brozović,MED,25,35,Inter de Milan,2018
12,Lovre Kalinić,POR,28,11,KAA Gent,2018
13,Tin Jedvaj,DEF,22,12,Bayer 04 Leverkusen,2018
14,Filip Bradarić,MED,26,4,HNK Rijeka,2018
15,Duje Ćaleta-Car,DEF,21,1,Red Bull Salzburg,2018
16,Nikola Kalinić,DEL,30,42,AC Milan,2018
17,Mario Mandžukić,DEL,32,83,Juventus,2018
18,Ante Rebić,DEL,24,16,Eintracht Frankfurt,2018
19,Milan Badelj,MED,29,38,Fiorentina,2018
20,Marko Pjaca,DEL,23,16,FC Schalke 04,2018
21,Domagoj Vida,DEF,29,59,Beşiktaş,2018
22,Josip Pivarić,DEF,29,19,Dinamo de Kiev,2018
23,Danijel Subašić,POR,33,38,AS Monaco,2018
24,Zlatko Dalić,DT,,,,2018
