#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Jordan Pickford,POR,24,3,Everton,2018
2,Kyle Walker,DEF,28,35,Manchester City,2018
3,Danny Rose,DEF,27,18,Tottenham Hotspur,2018
4,Eric Dier,MED,24,26,Tottenham Hotspur,2018
5,John Stones,DEF,24,26,Manchester City,2018
6,Harry Maguire,DEF,25,5,Leicester City,2018
7,Jesse Lingard,MED,25,12,Manchester United,2018
8,Jordan Henderson,MED,27,39,Liverpool,2018
9,Harry Kane,DEL,24,24,Tottenham Hotspur,2018
10,Raheem Sterling,DEL,23,38,Manchester City,2018
11,Jamie Vardy,DEL,31,22,Leicester City,2018
12,Kieran Trippier,DEF,27,26,Tottenham Hotspur,2018
13,Jack Butland,POR,25,8,Stoke City,2018
14,Danny Welbeck,DEL,27,39,Arsenal,2018
15,Gary Cahill,DEF,27,60,Chelsea,2018
16,Phil Jones,DEF,26,25,Manchester United,2018
17,Fabian Delph,DEF,28,11,Manchester City,2018
18,Ashley Young,DEF,32,34,Manchester United,2018
19,Marcus Rashford,DEL,20,19,Manchester United,2018
20,Dele Alli,MED,22,25,Tottenham Hotspur,2018
21,Ruben Loftus-Cheek,MED,22,4,Chelsea,2018
22,Trent Alexander-Arnold,DEF,19,1,Liverpool,2018
23,Nick Pope,POR,33,1,Burnley,2018
24,Gareth Southgate,DT,,,,2018
