#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Jose de Jesus Corona,POR,37,52,Cruz Azul F. C.,2018,2018
2,Hugo Ayala,DEF,31,43,C. F. Tigres UANL,2018
3,Carlos Salcedo,DEF,24,21,Eintracht Frankfurt,2018
4,Rafael Marquez,DEF,39,145,Atlas F. C.,2018
5,Erick Gutierrez,MED,22,9,C. F. Pachuca,2018
6,Jonathan dos Santos,MED,28,32,Los Angeles Galaxy,2018
7,Miguel Layun,MED,29,64,Sevilla F. C.,2018
8,Marco Fabian,DEL,29,39,Eintracht Frankfurt,2018
9,Raul Jimenez,DEL,27,63,S. L. Benfica,2018
10,Giovani dos Santos,MED,29,105,Los Angeles Galaxy,2018
11,Carlos Vela,DEL,29,68,Los Angeles F. C.,2018
12,Alfredo Talavera,POR,35,27,D. Toluca,2018
13,Guillermo Ochoa,POR,32,94,Standard Liège,2018
14,Javier Hernandez,DEL,30,102,West Ham United F. C.,2018
15,Hector Moreno,DEF,30,92,Real Sociedad,2018
16,Hector Herrera,DEF,28,66,F. C. Porto,2018
17,Jesus Manuel Corona,MED,25,36,F. C. Porto,2018
18,Andres Guardado,MED,31,145,Real Betis,2018
19,Oribe Peralta,DEL,34,67,C. America,2018
20,Javier Aquino,MED,28,53,C. F. Tigres UANL,2018
21,Edson Alvarez,DEF,20,13,C. America,2018
22,Hirving Lozano,DEL,22,28,PSV Eindhoven,2018
23,Jesus Gallardo,MED,23,23,C. Universidad Nacional,2018
24,Juan Carlos Osorio,DT,,,,2018
