#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Igor Akinfeyev,POR,32,106,CSKA Moscu,2018
2,Mario Fernandes,DEF,27,5,CSKA Moscu,2018
3,Ilia Kutepov,DEF,24,7,Spartak de Moscu,2018
4,Serguei Ignashevich,DEF,38,122,CSKA Moscu,2018
5,Andrei Semionov,DEF,29,6,Ajmat Grozni,2018
6,Denis Cheryshev,MED,27,11,Villarreal,2018
7,Daler Kuziayev,MED,25,6,Zenit de San Petersburgo,2018
8,Yuri Gazinski,MED,28,6,Krasnodar,2018
9,Alan Dzagoyev,MED,27,57,CSKA Moscu,2018
10,Ramiro Lopez,DEL,28,32,Krasnodar,2018
11,Roman Zobnin,MED,24,12,Spartak de Moscu,2018
12,Andrei Lunev,POR,26,3,Zenit de San Petersburgo,2018
13,Fiodor Kudriashov,DEF,31,19,Rubin Kazan,2018
14,Vladimir Granat,DEF,31,12,Rubin Kazan,2018
15,Aleksei Miranchuk,MED,22,18,Lokomotiv Moscu,2018
16,Anton Miranchuk,MED,22,6,Lokomotiv Moscu,2018
17,Aleksandr Golovin,MED,22,19,CSKA Moscu,2018
18,Yuri Zhirkov,DEF,34,84,Zenit de San Petersburgo,2018
19,Aleksandr Samedov,MED,33,48,Spartak de Moscu,2018
20,Vladimir Gabulov,POR,34,10,Club Brujas,2018
21,Aleksandr Yerojin,MED,28,17,Zenit de San Petersburgo,2018
22,Artiom Dziuba,DEL,29,23,Arsenal Tula,2018
23,Igor Smolnikov,DEF,29,27,Zenit de San Petersburgo,2018
24,Stanislav Cherchesov,DT,,,,2018
