#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Abdoulaye Diallo,POR,26,17,Rennes,2018
2,Saliou Ciss,DEF,28,18,Valenciennes,2018
3,Kalidou Koulibaly,DEF,26,25,SSC Napoli,2018
4,Kara Mbodji,DEF,28,52,RSC Anderlecht,2018
5,Idrissa Gueye,MED,28,60,Everton,2018
6,Salif Sane,MED,27,21,Hannover 96,2018
7,Moussa Sow,DEL,32,51,Bursaspor,2018
8,Cheikhou Kouyate,MED,28,47,West Ham United,2018
9,Mame Biram Diouf,DEL,30,48,Stoke City,2018
10,Sadio Mane,DEL,26,52,Liverpool,2018
11,Cheikh N'Doye,MED,32,25,Birmingham City,2018
12,Youssouf Sabaly,DEF,25,4,Bordeaux,2018
13,Alfred N'Diaye,MED,28,20,Wolverhampton Wanderers,2018
14,Moussa Konate,DEL,25,27,Amiens,2018
15,Diafra Sakho,DEL,28,11,Rennes,2018
16,Khadim N'Diaye,POR,33,25,Horoya Conakry,2018
17,Badou Ndiaye,MED,27,19,Stoke City,2018
18,Ismaila Sarr,DEL,20,15,Rennes,2018
19,M'Baye Niang,DEL,23,6,Torino,2018
20,Keita Balde,DEL,23,18,AS Monaco,2018
21,Lamine Gassama,DEF,28,36,Alanyaspor,2018
22,Moussa Wague,DEF,19,9,KAS Eupen,2018
23,Alfred Gomis,POR,24,1,SPAL Ferrara,2018
24,Aliou Cisse,DT,,,,2018
