#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Eduardo,POR,27,14,SPORting Braga,2010
2,Bruno Alves,DEF,28,30,PORto,2010
3,Paulo Ferreira,DEF,31,61,Chelsea,2010
4,Rolando,DEF,31,8,PORto,2010
5,Duda,DEF,29,15,Malaga,2010
6,Ricardo Carvalho,DEF,32,62,Chelsea,2010
7,Cristiano Ronaldo,DEL,25,71,Real Madrid,2010
8,Pedro Mendes,MED,30,7,SPORting de Lisboa,2010
9,Liedson,DEL,32,9,SPORting de Lisboa,2010
10,Danny,DEL,26,10,Zenit San Petersburgo,2010
11,Simão,DEL,30,80,Atletico de Madrid,2010
12,Beto,POR,28,1,PORto,2010
13,Miguel,DEF,30,56,Valencia,2010
14,Miguel Veloso,MED,24,11,SPORting de Lisboa,2010
15,Pepe,MED,27,24,Real Madrid,2010
16,Raul Meireles,MED,27,33,PORto,2010
17,Ruben Amorim,MED,25,,Benfica,2010
18,Hugo Almeida,DEL,25,25,Werder Bremen,2010
19,Tiago,MED,29,50,Atletico de Madrid,2010
20,Deco,MED,32,73,Chelsea,2010
21,Ricardo Costa,DEF,29,8,Lille,2010
22,Daniel Fernandes,POR,26,2,Iraklis,2010
23,Fabio Coentrão,MED,22,3,Benfica,2010
24,Carlos Queiroz,DT,,,,
