#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Diego Benaglio,POR,26,25,Wolfsburgo,2010
2,Stephan Lichtsteiner,DEF,26,26,Lazio,2010
3,Ludovic Magnin,DEF,31,61,FC Zurich,2010
4,Philippe Senderos,DEF,25,38,Arsenal,2010
5,Steve Von Bergen,DEF,26,10,Hertha de Berlin,2010
6,Benjamin Huggel,MED,32,36,FC Basel,2010
7,Tranquillo Barnetta,MED,28,50,Bayer Leverkusen,2010
8,Gokhan Inler,MED,25,34,Udinese,2010
9,Alexander Frei,DEL,30,73,FC Basel,2010
10,Blaise Nkufo,DEL,35,29,Twente,2010
11,Valon Behrami,MED,25,26,West Ham United,2010
12,Marco Wolfli,POR,27,4,Young Boys,2010
13,Stephane Grichting,DEF,31,33,Auxerre,2010
14,Marco Padalino,MED,26,7,Sampdoria,2010
15,Hakan Yakın,DEL,33,80,FC Luzern,2010
16,Gelson Fernandes,MED,23,21,Saint-Etienne,2010
17,Reto Ziegler,DEF,24,10,Sampdoria,2010
18,Albert Bunjaku,DEL,26,,FC Nuremberg,2010
19,Eren Derdiyok,DEL,21,19,Bayer Leverkusen,2010
20,Pirmin Schwegler,MED,23,3,Eintracht Frankfurt,2010
21,Johnny Leoni,POR,25,0,FC Zurich,2010
22,Mario Eggimann,DEF,29,8,Hannover 96,2010
23,Xherdan Shaqiri,DEL,18,1,FC Basel,2010
24,Ottmar Hitzfeld,DT,,,,
