#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Jasper Cillessen,POR,25,8,Ajax de amsterdam,2014
2,Ron Vlaar,DEF,29,24,Aston Villa,2014
3,Stefan de Vrij,DEF,22,12,Feyenoord,2014
4,Bruno Martins Indi,DEF,22,2,Feyenoord,2014
5,Daley Blind,DEF,24,12,Ajax,2014
6,Nigel de Jong,CEN,29,71,Milan,2014
7,Daryl Janmaat,DEF,24,16,Feyenoord,2014
8,Jonathan de Guzman,CEN,26,10,Swansea City,2014
9,Robin van Persie,DEL,30,85,Manchester United,2014
10,Wesley Sneijder,CEN,30,99,Galatasaray,2014
11,Arjen Robben,DEL,30,75,Bayern de Munich,2014
12,Paul Verhaegh,DEF,30,2,Augsburgo,2014
13,Joel Veltman,DEF,22,2,Ajax de amsterdam,2014
14,Terence Kongolo,DEF,20,1,Feyenoord,2014
15,Dirk Kuyt,DEL,33,98,Fenerbahçe,2014
16,Jordy Clasie,CEN,22,8,Feyenoord,2014
17,Jeremain Lens,DEL,26,22,Dinamo Kiev,2014
18,Leroy Fer,CEN,24,6,Norwich City,2014
19,Klaas-Jan Huntelaar,DEL,30,62,Schalke 04,2014
20,Georginio Wijnaldum,CEN,23,5,PSV Eindhoven,2014
21,Memphis Depay,DEL,20,6,PSV Eindhoven,2014
22,Michel Vorm,POR,30,14,Swansea City,2014
23,Tim Krul,POR,26,5,Newcastle United,2014
24,Louis van Gaal,DT,,,,
