#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Gianluigi Buffon,POR,36,140,Juventus,2014
2,Mattia De Sciglio,DEF,21,11,Milan,2014
3,Giorgio Chiellini,DEF,29,68,Juventus,2014
4,Matteo Darmian,DEF,24,1,Torino,2014
5,Thiago Motta,CEN,31,22,Paris Saint-Germain,2014
6,Antonio Candreva,CEN,27,20,Lazio,2014
7,Ignazio Abate,DEF,27,20,Milan,2014
8,Claudio Marchisio,CEN,28,44,Juventus,2014
9,Mario Balotelli,DEL,23,30,Milan,2014
10,Antonio Cassano,DEL,31,37,Parma,2014
11,Alessio Cerci,DEL,26,12,Torino,2014
12,Salvatore Sirigu,POR,27,8,Paris Saint-Germain,2014
13,Mattia Perin,POR,21,0,Genoa,2014
14,Alberto Aquilani,CEN,29,35,Fiorentina,2014
15,Andrea Barzagli,DEF,33,47,Juventus,2014
16,Daniele De Rossi,CEN,30,95,Roma,2014
17,Ciro Immobile,DEL,24,2,Torino,2014
18,Marco Parolo,CEN,29,4,Parma,2014
19,Leonardo Bonucci,DEF,27,37,Juventus,2014
20,Gabriel Paletta,DEF,28,2,Parma,2014
21,Andrea Pirlo,CEN,35,109,Juventus,2014
22,Lorenzo Insigne,DEL,23,5,Napoli,2014
23,Marco Verratti,CEN,21,6,Paris Saint-Germain,2014
24,Cesare PranDELli,DT,,,,
