#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Thibaut Courtois,POR,26,57,Chelsea,2018
2,Toby Alderweireld,DEF,29,73,Tottenham Hotspur,2018
3,Thomas Vermaelen,DEF,32,64,Barcelona,2018
4,Vincent Kompany,DEF,32,74,Manchester City,2018
5,Jan Vertonghen,DEF,31,101,Tottenham Hotspur,2018
6,Axel Witsel,MED,29,86,Tianjin Quanjian,2018
7,Kevin De Bruyne,MED,26,58,Manchester City,2018
8,Marouane Fellaini,MED,30,80,Manchester United,2018
9,Romelu Lukaku,DEL,25,65,Manchester United,2018
10,Eden Hazard,DEL,27,83,Chelsea,2018
11,Yannick Carrasco,MED,24,24,Dalian Yifang,2018
12,Simon Mignolet,POR,30,21,Liverpool,2018
13,Koen Casteels,POR,25,0,VfL Wolfsburg,2018
14,Dries Mertens,DEL,31,66,SSC Napoli,2018
15,Thomas Meunier,DEF,26,24,PSG,2018
16,Thorgan Hazard,MED,25,9,Borussia Monchengladbach,2018
17,Youri Tielemans,MED,21,7,AS Monaco,2018
18,Adnan Januzaj,DEL,23,8,Real Sociedad,2018
19,Moussa Dembele,MED,30,74,Tottenham Hotspur,2018
20,Dedryck Boyata,DEF,27,6,Celtic,2018
21,Michy Batshuayi,DEL,24,14,Borussia Dortmund,2018
22,Nacer Chadli,MED,28,42,West Bromwich Albion,2018
23,Leander Dendoncker,DEF,23,4,RSC Anderlecht,2018
24,Roberto Martinez Montoliu,DT,,,,
