#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,David Ospina,POR,29,85,Arsenal,2018
12,Camilo Vargas,POR,29,5,Deportivo Cali,2018
22,Jose Fernando Cuadrado,POR,32,1,Once Caldas,2018
2,Cristian Zapata,DEF,31,55,Milan,2018
3,Oscar Murillo,DEF,30,12,Pachuca,2018
4,Santiago Arias,DEF,26,40,PSV Eindhoven,2018
13,Yerry Mina,DEF,23,11,Barcelona,2018
18,Farid Diaz,DEF,34,13,Club Olimpia,2018
23,Davinson Sanchez,DEF,22,8,Tottenham Hotspur,2018
17,Johan Mojica,DEF,25,3,Girona,2018
5,Wilmar Barrios,CEN,24,10,Boca Juniors,2018
6,Carlos Sanchez,CEN,32,84,Espanyol,2018
8,Abel Aguilar,CEN,33,70,Deportivo Cali,2018
10,James Rodriguez,CEN,26,62,Bayern Munich,2018
20,Juan Fernando Quintero,CEN,25,14,River Plate,2018
15,Mateus Uribe,CEN,27,7,Club America,2018
16,Jefferson Lerma,CEN,23,4,Levante,2018
11,Juan Guillermo Cuadrado,CEN,29,69,Juventus,2018
7,Carlos Bacca,DEL,31,44,Villarreal,2018
9,Radamel Falcao,DEL,32,72,A.S.Monaco,2018
14,Luis Muriel,DEL,27,18,Sevilla,2018
19,Miguel Borja,DEL,25,6,Palmeiras,2018
21,Jose Izquierdo,DEL,25,4,Brighton & Hove Albion,2018
24,Jose Pekerman,DT,,,,
