#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Essam El-Hadary,POR,45,158,Al-Taawoun,2018
2,Ali Gabr,DEF,29,21,West Bromwich Albion,2018
3,Ahmed Al-Muhammadi,DEF,30,78,Aston Villa,2018
4,Omar Gaber,MED,26,24,Los Angeles FC,2018
5,Sam Morsy,MED,25,5,Wigan Athletic,2018
6,Ahmed Hegazy,DEF,27,45,West Bromwich Albion,2018
7,Ahmed Fathy,DEF,33,126,Al-Ahly,2018
8,Tarek Hamed,MED,29,21,Zamalek,2018
9,Marwan Mohsen,DEL,29,24,Al-Ahly,2018
10,Mohamed Salah,DEL,25,57,Liverpool,2018
11,Mahmoud Kahraba,DEL,24,19,Al-Ittihad,2018
12,Ayman Ashraf,DEF,27,4,Al-Ahly,2018
13,Mohamed Abdel-Shafy,DEF,32,51,Al-Fateh,2018
14,Ramadan Sobhi,DEL,21,23,Stoke City,2018
15,Mahmoud Hamdy,DEF,23,0,Zamalek,2018
16,Sherif Ekramy,POR,34,22,Al-Ahly,2018
17,Mohamed Elneny,MED,25,61,Arsenal,2018
18,Shikabala,DEL,32,29,Al-Raed,2018
19,Abdallah Said,MED,32,36,KuPS Kuopio,2018
20,Saad Samir,DEF,29,11,Al-Ahly,2018
21,Trezeguet,MED,23,24,Kasımpaşa,2018
22,Amr Warda,DEL,24,16,Atromitos,2018
23,Mohamed El-Shenawy,POR,29,3,Al-Ahly,2018
24,Hector Cuper,DT,,,,
