#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Hugo Lloris,POR,31,98,Tottenham Hotspur,2018
2,Benjamin Pavard,DEF,22,6,VfB Stuttgart,2018
3,Presnel Kimpembe,DEF,22,2,Paris Saint-Germain,2018
4,Raphael Varane,DEF,25,42,Real Madrid,2018
5,Samuel Umtiti,DEF,24,19,Barcelona,2018
6,Paul Pogba,MED,25,54,Manchester United,2018
7,Antoine Griezmann,DEL,27,54,Atletico de Madrid,2018
8,Thomas Lemar,DEL,22,12,Monaco,2018
9,Olivier Giroud,DEL,31,74,Chelsea,2018
10,Kylian Mbappe,DEL,19,15,Paris Saint-Germain,2018
11,Ousmane Dembele,DEL,21,12,Barcelona,2018
12,Corentin Tolisso,MED,23,9,Bayern de Munich,2018
13,N'Golo Kante,MED,27,24,Chelsea,2018
14,Blaise Matuidi,MED,31,67,Juventus,2018
15,Steven N'Zonzi,MED,29,4,Sevilla,2018
16,Steve Mandanda,POR,33,27,Olympique de Marsella,2018
17,Adil Rami,DEF,32,35,Olympique de Marsella,2018
18,Nabil Fekir,DEL,24,12,Olympique de Lyon,2018
19,Djibril Sidibe,DEF,25,17,Monaco,2018
20,Florian Thauvin,DEL,25,4,Olympique de Marsella,2018
21,Lucas Hernandez,DEF,22,5,Atletico de Madrid,2018
22,Benjamin Mendy,DEF,23,7,Manchester City,2018
23,Alphonse Areola,POR,25,0,Paris Saint-Germain,2018
24,Didier Deschamps,DT,,,,
