#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Yassine Bounou,POR,27,11,Girona,2018
2,Achraf Hakimi,DEF,19,10,Real Madrid,2018
3,Hamza Mendyl,DEF,20,13,Lille,2018
4,Manuel da Costa,DEF,32,28,Estambul Başakşehir,2018
5,Mehdi Benatia,DEF,31,57,Juventus,2018
6,Romain Saiss,DEF,28,24,Wolverhampton Wanderers,2018
7,Hakim Ziyech,MED,25,18,Ajax,2018
8,Karim El Ahmadi,MED,33,51,Feyenoord,2018
9,Ayoub El Kaabi,DEL,24,10,Renaissance de Berkane,2018
10,Younès Belhanda,MED,28,47,Galatasaray,2018
11,Fayçal Fajr,MED,29,23,Getafe,2018
12,Munir Mohamedi,POR,29,27,Numancia,2018
13,Khalid Boutaib,DEL,31,18,Yeni Malatyaspor,2018
14,Mbark Boussoufa,MED,33,59,Al-Jazira,2018
15,Youssef Ait Bennasser,MED,21,14,Caen,2018
16,Nordin Amrabat,MED,31,44,Leganes,2018
17,Nabil Dirar,DEF,32,34,Fenerbahçe,2018
18,Amine Harit,MED,20,6,Schalke 04,2018
19,Youssef En-Nesyri,DEL,21,16,Malaga,2018
20,Aziz Bouhaddouz,DEL,31,15,St. Pauli,2018
21,Sofyan Amrabat,MED,21,6,Feyenoord,2018
22,Ahmed Reda Tagnaouti,POR,22,2,Ittihad Tanger,2018
23,Mehdi Carcela-Gonzalez,MED,28,20,Standard Lieja,2018
24,Herve Renard,DT,,,,
