#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Ikechukwu Ezenwa,POR,29,24,Enyimba,2018
2,Brian Idowu,DEF,26,5,Amkar Perm,2018
3,Elderson Echiejile,DEF,30,62,Cercle Brugge,2018
4,Wilfred Ndidi,MED,21,17,Leicester City,2018
5,William Troost-Ekong,DEF,24,22,Bursaspor,2018
6,Leon Balogun,DEF,29,19,FSV Mainz,2018
7,Ahmed Musa,DEL,25,72,CSKA Moscu,2018
8,Oghenekaro Etebo,MED,22,14,Las Palmas,2018
9,Odion Ighalo,DEL,28,19,Changchun Yatai,2018
10,John Obi Mikel,MED,31,85,Tianjin Teda,2018
11,Victor Moses,DEL,27,34,Chelsea,2018
12,Abdullahi Shehu,DEF,25,25,Bursaspor,2018
13,Simeon Nwankwo,DEL,26,2,FC Crotone,2018
14,Kelechi Iheanacho,DEL,22,18,Leicester City,2018
15,Joel Obi,MED,27,17,Torino,2018
16,Daniel Akpeyi,POR,32,7,Chippa United,2018
17,Ogenyi Onazi,MED,25,52,Trabzonspor,2018
18,Alex Iwobi,DEL,22,19,Arsenal,2018
19,John Ogu,MED,30,20,Hapoel Be'er Sheva,2018
20,Chidozie Awaziem,DEF,21,4,FC Nantes,2018
21,Tyronne Ebuehi,DEF,22,7,ADO La Haya,2018
22,Kenneth Omeruo,DEF,24,39,Kasımpaşa,2018
23,Francis Uzoho,POR,19,6,Deportivo La Coruña,2018
24,Gernot Rohr,DT,,,,
