#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Lounes Gaouaoui,POR,32,48,ASO Chlef,2010
2,Madjid Bougherra,DEF,27,40,Rangers FC,2010
3,Nadir Belhadj,DEF,27,44,PORtsmouth FC,2010
4,Antar Yahia,DEF,28,43,VfL Bochum,2010
5,Rafik Halliche,DEF,23,16,Nacional Madeira,2010
6,Yazid Mansouri,CEN,32,66,FC Lorient,2010
7,Ryad Boudebouz,CEN,20,1,Sochaux,2010
8,MEDhi Lacen,CEN,26,2,Racing Santander,2010
9,AbDELkader Ghezzal,DEL,25,18,AC Siena,2010
10,Rafik Saifi,DEL,35,59,Istres,2010
11,Rafik Djebbour,DEL,26,15,AEK Atenas,2010
12,Habib Bellaid,DEF,24,1,US Boulogne,2010
13,Karim Matmour,CEN,24,22,Borussia Monchengladbach,2010
14,AbDELkader Laifaoui,DEF,28,7,ES Setif,2010
15,Karim Ziani,CEN,27,54,VfL Wolfsburgo,2010
16,Faouzi Chaouchi,POR,25,9,ES Setif,2010
17,Adlène Guedioura,CEN,24,1,Wolverhampton,2010
18,Carl MEDjani,DEF,25,,AC Ajaccio,2010
19,Hassan Yebda,CEN,26,9,PORtsmouth FC,2010
20,Djamel Mesbah,DEF,25,1,US Lecce,2010
21,Foued Kadir,CEN,26,1,Valenciennes FC,2010
22,Djamel Abdoun,CEN,24,3,FC Nantes,2010
23,Rais M'Bolhi,POR,24,1,Slavia Sofia,2010
24,Rabah Saadane,DT,,,,2010
