#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Carlos Idriss Kameni,POR,26,55,RCD Español,2010
2,Benoit Assou-Ekotto,DEF,26,8,Tottenham Hotspur,2010
3,Nicolas N'Koulou,DEF,20,16,AS Monaco,2010
4,Rigobert Song,DEF,33,136,TrabzonsPOR,2010
5,Sebastien Bassong,DEF,23,6,Tottenham Hotspur,2010
6,Alexandre Song,CEN,22,23,Arsenal FC,2010
7,Landry N'Guemo,CEN,24,7,As Nancy,2010
8,Geremi Njitap,DEF,31,114,Ankaragucu,2010
9,Samuel Eto'o,DEL,29,92,Inter de Milan,2010
10,Achille Emana,DEL,28,34,Real Betis,2010
11,Jean II Makoun,CEN,27,50,Olympique de Lyon,2010
12,Gaetan Bong,DEF,22,1,Valenciennes FC,2010
13,Eric Maxim Choupo-Moting,DEL,21,1,Nuremberg,2010
14,Aurelien Chedjou,DEF,24,9,Lille OSC,2010
15,Pierre Webo,DEL,28,41,Real Mallorca,2010
16,Souleymanou Hamidou,POR,36,21,KayserisPOR,2010
17,Mohammadou Idrissou,DEL,30,30,Freiburgo,2010
18,Eyong Enoh,CEN,24,12,Ajax Amsterdam,2010
19,Stephane Mbia,DEF,24,30,Olympique de Marsella,2010
20,Georges Mandjeck,CEN,21,6,Kaiserslautern,2010
21,Joel Matip,CEN,18,3,FC Schalke 04,2010
22,Guy N'dy Assembe,POR,24,1,Valenciennes FC,2010
23,Vincent Aboubakar,DEL,18,1,Coton SPORt,2010
24,Paul Le Guen,DT,,,,2010
