#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Lee Woon-jae,POR,37,130,Suwon Bluewings,2010
2,Oh Beom-seok,DEF,25,38,Ulsan Hyundai,2010
3,Kim Hyung-il,DEF,26,2,Pohang Steelers,2010
4,Cho Yong-hyung,DEF,26,32,Jeju United FC,2010
5,Kim Nam-il,MED,33,93,FC Tom Tomsk,2010
6,Kim Bo-kyung,MED,20,6,Oita Trinita,2010
7,Park Ji-sung,MED,29,88,Manchester United,2010
8,Kim Jung-woo,MED,28,57,Gwangju Sangmu FC,2010
9,Ahn Jung-hwan,DEL,34,71,Dalian Shide,2010
10,Park Chu-young,DEL,24,41,AS Monaco,2010
11,Lee Seung-yeoul,DEL,21,8,FC Seoul,2010
12,Lee Young-pyo,DEF,33,113,Al Hilal,2010
13,Kim Jae-sung,MED,26,8,Pohang Steelers,2010
14,Lee Jung-soo,DEF,30,25,Kashima Antlers,2010
15,Kim Dong-jin,DEF,28,61,Ulsan Hyundai,2010
16,Ki Sung-yueng,MED,21,22,Celtic FC,2010
17,Lee Chung-yong,MED,21,24,Bolton Wanderers FC,2010
18,Jung Sung-ryong,POR,25,16,Seongnam Ilhwa Chunma,2010
19,Yeom Ki-hun,MED,27,35,Suwon Bluewings,2010
20,Lee Dong-gook,DEL,31,83,Jeonbuk Motors,2010
21,Kim Young-kwang,POR,26,14,Ulsan Hyundai,2010
22,Cha Du-ri,DEF,29,47,SC Freiburgo,2010
23,Kang Min-soo,DEF,24,31,Suwon Bluewings,2010
24,Huh Jung-moo,DT,,,,2010
