#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Iker Casillas,POR,29,102,Real Madrid,2010
2,Raul Albiol,DEF,24,22,Real Madrid,2010
3,Gerard Pique,DEF,23,14,Barcelona,2010
4,Carlos Marchena,DEF,30,56,Valencia,2010
5,Carles Puyol,DEF,32,81,Barcelona,2010
6,Andres Iniesta,MED,26,40,Barcelona,2010
7,David Villa,DEL,28,55,Valencia,2010
8,Xavi Hernandez,MED,30,84,Barcelona,2010
9,Fernando Torres,DEL,26,72,Liverpool,2010
10,Cesc Fàbregas,MED,23,48,Arsenal,2010
11,Joan Capdevila,DEF,32,42,Villarreal,2010
12,Victor Valdes,POR,28,1,Barcelona,2010
13,Juan Mata,DEL,22,7,Valencia,2010
14,Xabi Alonso,MED,28,66,Real Madrid,2010
15,Sergio Ramos,DEF,24,57,Real Madrid,2010
16,Sergio Busquets,MED,21,11,Barcelona,2010
17,Alvaro Arbeloa,DEF,27,13,Real Madrid,2010
18,Pedro Rodriguez,DEL,22,2,Barcelona,2010
19,Fernando Llorente,DEL,25,5,Athletic Club,2010
20,Javi Martinez,MED,21,1,Athletic Club,2010
21,David Silva,MED,24,33,Valencia,2010
22,Jesus Navas,DEL,24,3,Sevilla,2010
23,Pepe Reina,POR,27,19,Liverpool,2010
24,Vicente DEL Bosque,DT,,,,2010
