#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Tim Howard,POR,31,51,Everton FC,2010
2,Jonathan Spector,DEF,24,25,West Ham,2010
3,Carlos Bocanegra,DEF,31,79,Stade Rennais,2010
4,Michael Bradley,MED,22,43,Borussia Monchengladbach,2010
5,Oguchi Onyewu,DEF,28,54,A.C. Milan,2010
6,Steve Cherundolo,DEF,31,60,Hannover 96,2010
7,DaMarcus Beasley,MED,28,92,Rangers FC,2010
8,Clint Dempsey,MED,27,62,Fulham,2010
9,Herculez Gomez,DEL,28,4,Puebla CF,2010
10,Landon Donovan,DEL,28,112,Los Angeles Galaxy,2010
11,Stuart Holden,MED,24,14,Bolton Wanderers,2010
12,Jonathan Bornstein,DEF,25,32,Chivas USA,2010
13,Ricardo Clark,MED,27,29,Eintracht Frankfurt,2010
14,Edson Buddle,DEL,29,1,Los Angeles Galaxy,2010
15,Jay DeMerit,DEF,30,19,Watford FC,2010
16,Francisco Torres,MED,22,10,Pachuca CF,2010
17,Jozy Altidore,DEL,20,9,Hull City,2010
18,Brad Guzan,POR,25,16,Aston Villa,2010
19,Maurice Edu,MED,24,13,Rangers FC,2010
20,Robbie Findley,DEL,24,6,Real Salt Lake,2010
21,Clarence Goodson,DEF,28,14,IK Start,2010
22,Benny Feilhaber,MED,25,32,AGF Aarhus,2010
23,Marcus Hahnemann,POR,37,8,Wolverhampton Wanderers,2010
24,Bob Bradley,DT,,,,2010
