#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Justo Villar  2° n. 1​,POR,32,73,Real Valladolid,2010
2,Dario Veron,DEF,30,29,Pumas,2010
3,Claudio Morel,DEF,32,27,Boca Juniors,2010
4,Denis Caniza  1°,DEF,35,98,Leon,2010
5,Julio Caceres,DEF,30,63,Atletico Mineiro,2010
6,Carlos Bonet,DEF,32,64,Olimpia,2010
7,Oscar Cardozo,DEL,27,29,Benfica,2010
8,Edgar Barreto,MED,25,48,Atalanta,2010
9,Roque Santa Cruz,DEL,28,70,Manchester City,2010
10,Edgar Benitez,DEL,22,13,America,2010
11,Jonathan Santana,MED,28,24,VfL Wolfsburgo,2010
12,Diego Barreto,POR,28,3,Cerro PORteño,2010
13,Enrique Vera,MED,31,29,Liga de Quito,2010
14,Paulo Da Silva,DEF,30,71,Sunderland,2010
15,Victor Caceres,MED,25,27,Libertad,2010
16,Cristian Riveros,MED,27,47,Cruz Azul,2010
17,Aureliano Torres,DEF,27,29,San Lorenzo de Almagro,2010
18,Nelson Haedo,DEL,26,38,Borussia Dortmund,2010
19,Lucas Barrios,DEL,25,3,Borussia Dortmund,2010
20,Nestor Ortigoza,MED,25,6,Argentinos Juniors,2010
21,Antolin Alcaraz,DEF,27,6,Brujas,2010
22,Aldo Bobadilla,POR,34,19,Independiente MEDellin,2010
23,Rodolfo Gamarra,DEL,21,3,Libertad,2010
24,Gerardo Martino,DT,47,,,2010
