#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Moneeb Josephs,POR,30,17,Orlando Pirates,2010
2,Siboniso Gaxa,DEF,26,37,Mamelodi Sundowns,2010
3,Tsepo Masilela,DEF,25,30,Maccabi Haifa,2010
4,Aaron Mokoena,DEF,29,101,PORtsmouth,2010
5,Anele Ngcongca,DEF,22,5,Genk,2010
6,MacBeth Sibaya,MED,32,58,Rubin Kazan,2010
7,Lance Davids,MED,25,22,Ajax Cape Town,2010
8,Siphiwe Tshabalala,MED,25,49,Kaizer Chiefs,2010
9,Katlego Mphela,DEL,25,30,Mamelodi Sundowns,2010
10,Steven Pienaar,MED,28,50,Everton,2010
11,Teko Modise,MED,27,52,Orlando Pirates,2010
12,Reneilwe Letsholonyane,MED,28,13,Kaizer Chiefs,2010
13,Kagiso Dikgacoi,MED,25,37,Fulham,2010
14,Matthew Booth,DEF,33,27,Mamelodi Sundowns,2010
15,Lucas Thwala,DEF,28,24,Orlando Pirates,2010
16,Itumeleng Khune,POR,22,27,Kaizer Chiefs,2010
17,Bernard Parker,DEL,24,28,Twente,2010
18,Siyabonga Nomvethe,DEL,32,76,Moroka Swallows,2010
19,Surprise Moriri,MED,30,34,Mamelodi Sundowns,2010
20,Bongani Khumalo,DEF,23,14,SupersPORt United,2010
21,Siyabonga Sangweni,DEF,28,8,Golden Arrows,2010
22,Shu-Aib Walters,POR,28,,Maritzburg United,2010
23,Thanduyise Khuboni,MED,24,9,Golden Arrows,2010
24,Carlos Alberto Parreira,DT,,,,2010
