#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Manuel Neuer,POR,28,45,Bayern Munich,2014
2,Kevin Großkreutz,DEF,25,5,Borussia Dortmund,2014
3,Matthias Ginter,CEN,20,2,Friburgo,2014
4,Benedikt Howedes,DEF,26,21,Schalke 04,2014
5,Mats Hummels,DEF,25,30,Borussia Dortmund,2014
6,Sami Khedira,CEN,27,46,Real Madrid,2014
7,Bastian Schweinsteiger,CEN,29,102,Bayern Munich,2014
8,Mesut Ozil,CEN,25,55,Arsenal,2014
9,Andre Schurrle,CEN,23,33,Chelsea,2014
10,Lukas Podolski,CEN,29,114,Arsenal,2014
11,Miroslav Klose,DEL,36,132,Lazio,2014
12,Ron-Robert Zieler,POR,25,3,Hannover 96,2014
13,Thomas Muller,CEN,24,49,Bayern Munich,2014
14,Julian Draxler,CEN,20,11,Schalke 04,2014
15,Erik Durm,DEF,22,1,Borussia Dortmund,2014
16,Philipp Lahm,DEF,30,106,Bayern Munich,2014
17,Per Mertesacker,DEF,29,98,Arsenal,2014
18,Toni Kroos,CEN,24,44,Bayern Munich,2014
19,Mario Gotze,CEN,22,29,Bayern Munich,2014
20,Jerome Boateng,DEF,25,39,Bayern Munich,2014
21,Shkodran Mustafi2,DEF,22,1,Sampdoria,2014
22,Roman Weidenfeller,POR,33,3,Borussia Dortmund,2014
23,Christoph Kramer,CEN,23,2,Borussia Monchengladbach,2014
24,Joachim Low,DT,,,,2014
