#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Keylor Navas,POR,27,,Levante,2014
2,Johnny Acosta,DEF,30,,Alajuelense,2014
3,Giancarlo Gonzalez,DEF,26,,Columbus Crew,2014
4,Michael Umaña,DEF,31,,DePORtivo Saprissa,2014
5,Celso Borges,CEN,26,,AIK,2014
6,Oscar Duarte,DEF,25,,Club Brujas,2014
7,Christian Bolaños,CEN,30,,Copenhague,2014
8,Dave Myrie1,DEF,26,,Herediano,2014
9,Joel Campbell,DEL,22,,Olympiacos,2014
10,Bryan Ruiz,DEL,29,,PSV Eindhoven,2014
11,Michael Barrantes,CEN,30,,Aalesund,2014
12,Waylon Francis,DEF,23,,Columbus Crew,2014
13,Oscar Esteban Granados,CEN,22,,Herediano,2014
14,Randall Brenes,DEL,30,,Cartagines,2014
15,Junior Diaz,DEF,30,,Maguncia 05,2014
16,Cristian Gamboa,DEF,24,,Rosenborg Ballklub,2014
17,Yeltsin Tejeda,CEN,22,,DePORtivo Saprissa,2014
18,Patrick Pemberton,POR,32,,Alajuelense,2014
19,Roy Miller,DEF,29,,New York Red Bulls,2014
20,Diego Calvo,CEN,23,,Vålerenga,2014
21,Marco Ureña,DEL,24,,Kuban Krasnodar,2014
22,Jose Miguel Cubero,CEN,27,,Herediano,2014
23,Daniel Cambronero,POR,26,,Herediano,2014
24,Jorge Luis Pinto,DT,,,,2014
