#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Stipe Pletikosa,POR,35,111,Rostov,2014
2,Šime Vrsaljko,DEF,22,7,Genoa,2014
3,Danijel Pranjić,DEF,32,50,Panathinaikos,2014
4,Ivan Perišić,CEN,25,29,Wolfsburgo,2014
5,Vedran Ćorluka,DEF,28,72,Lokomotiv Moscu,2014
6,Dejan Lovren,DEF,24,25,Southampton,2014
7,Ivan Rakitić,CEN,26,62,Barcelona,2014
8,Ognjen Vukojević,CEN,30,55,Dinamo Kiev,2014
9,Nikica Jelavić,DEL,28,33,Hull City,2014
10,Luka Modrić,CEN,28,75,Real Madrid,2014
11,Darijo Srna,DEF,32,113,Shakhtar Donetsk,2014
12,Oliver Zelenika,POR,21,0,Lokomotiva,2014
13,Gordon Schildenfeld,DEF,29,21,Panathinaikos,2014
14,Marcelo Brozović,CEN,21,1,Dinamo Zagreb,2014
15,Milan BaDELj,CEN,25,9,Hamburgo,2014
16,Ante Rebić,DEL,20,5,Fiorentina,2014
17,Mario Mandžukić,DEL,28,50,Bayern Munich,2014
18,Ivica Olić,DEL,34,92,Wolfsburgo,2014
19,Sammir,CEN,27,6,Getafe,2014
20,Mateo Kovačić,CEN,20,10,Inter de Milan,2014
21,Domagoj Vida,DEF,25,23,Dinamo Kiev,2014
22,Eduardo,DEL,31,63,Shakhtar Donetsk,2014
23,Danijel Subašić,POR,29,6,Monaco,2014
24,Niko Kovač,DT,,,,2014
