#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Orestis Karnezis,POR,,,Granada,2014
2,Giannis Maniatis,CEN,,,Olympiacos,2014
3,Giorgos Tzavellas,DEF,,,PAOK,2014
4,Kostas Manolas,DEF,,,Olympiacos,2014
5,Vangelis Moras,DEF,,,Hellas Verona,2014
6,Alexandros Tziolis,CEN,,,KayserisPOR,2014
7,Georgios Samaras,DEL,,,Celtic,2014
8,Panagiotis Kone,CEN,,,Bologna,2014
9,Kostas Mitroglou,DEL,,,Fulham,2014
10,Giorgos Karagounis,CEN,,,Fulham,2014
11,Loukas Vyntra,DEF,,,Levante,2014
12,Panagiotis Glykos,POR,,,PAOK,2014
13,Stefanos Kapino,POR,,,Panathinaikos,2014
14,Dimitris Salpingidis,DEL,,,PAOK,2014
15,Vasilis Torosidis,DEF,,,Roma,2014
16,Lazaros Christodoulopoulos,DEL,,,Bologna,2014
17,Theofanis Gekas,DEL,,,KonyasPOR,2014
18,Giannis Fetfatzidis,DEL,,,Genoa,2014
19,Sokratis Papastathopoulos,DEF,,,Borussia Dortmund,2014
20,Jose Holebas,DEF,,,Olympiacos,2014
21,Kostas Katsouranis,CEN,,,PAOK,2014
22,Andreas Samaris,CEN,,,Olympiacos,2014
23,Panagiotis Tachtsidis,CEN,,,Torino,2014
24,Fernando Santos,DT,,,,2014
