#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Jose de Jesus Corona,POR,33,33,Cruz Azul,2014
12,Alfredo Talavera,POR,31,14,Toluca,2014
13,Guillermo Ochoa,POR,28,61,Ajaccio,2014
2,Francisco Rodriguez,DEF,32,97,America,2014
3,Carlos Salcido,DEF,34,122,Tigres UANL,2014
4,Rafael Marquez,DEF,35,124,Leon,2014
5,Diego Reyes,DEF,21,15,PORto,2014
7,Miguel Layun,DEF,25,17,America,2014
15,Hector Moreno,DEF,26,57,RCD Español,2014
16,Miguel Angel Ponce1,DEF,25,7,Toluca,2014
22,Paul Aguilar,DEF,28,32,America,2014
6,Hector Herrera,MED,24,17,PORto,2014
8,Marco Fabian,MED,24,18,Cruz Azul,2014
17,Isaac Brizuela,MED,23,7,Toluca,2014
18,Andres Guardado,MED,27,106,Bayer Leverkusen,2014
20,Javier Aquino,MED,24,23,Villarreal,2014
21,Carlos Peña,MED,24,15,Leon,2014
23,Jose Juan Vazquez,MED,26,8,Leon,2014
9,Raul Jimenez,DEL,23,24,America,2014
10,Giovani dos Santos,DEL,25,78,Villarreal,2014
11,Alan Pulido,DEL,23,6,Tigres UANL,2014
14,Javier Hernandez,DEL,26,66,Manchester United,2014
19,Oribe Peralta,DEL,30,32,Santos Laguna,2014
24,Miguel Herrera,DT,,,,2014
