#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Abdullah Al-Mayouf,POR,31,11,Al-Hilal,2018
2,Mansoor Al-Harbi,DEF,30,40,Al-Ahli,2018
3,Osama Hawsawi,DEF,34,135,Al-Hilal,2018
4,Ali Al-Bulaihi,DEF,28,4,Al-Hilal,2018
5,Omar Hawsawi,DEF,32,42,Al-Nassr,2018
6,MohamMED Al-Breik,DEF,25,11,Al-Hilal,2018
7,Salman Al-Faraj,MED,28,43,Al-Hilal,2018
8,Yahya Al-Shehri,MED,27,57,Leganes,2018
9,Hattan Bahebri,MED,25,5,Al-Shabab,2018
10,Mohammad Al-Sahlawi,DEL,31,40,Al-Nassr,2018
11,Abdulmalek Al-Khaibri,MED,32,36,Al-Hilal,2018
12,MohaMED Kanno,MED,23,6,Al-Hilal,2018
13,Yasser Al-Shahrani,DEF,26,37,Al-Hilal,2018
14,Abdullah Otayf,MED,25,16,Al-Hilal,2018
15,Abdullah Al-Khaibari,MED,21,5,Al-Shabab,2018
16,Housain Al-Mogahwi,MED,30,18,Al-Ahli,2018
17,Taisir Al-Jassim,MED,33,132,Al-Ahli,2018
18,Salem Al-Dawsari,MED,26,33,Villarreal,2018
19,Fahad Al-Muwallad,DEL,23,45,Levante,2018
20,Muhannad Assiri,DEL,31,18,Al-Ahli,2018
21,Yasser Al-Mosailem,POR,34,32,Al-Ahli,2018
22,MohamMED Al-Owais,POR,26,6,Al-Ahli,2018
23,Motaz Hawsawi,DEF,26,17,Al-Ahli,2018
24,Juan Antonio Pizzi,DT,,,,2018
