#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Nahuel Guzman,POR,32,6,Tigres,2018
12,Franco Armani,POR,31,1,River Plate,2018
23,Wilfredo Caballero,POR,36,5,Chelsea,2018
2,Gabriel Mercado,DEF,31,22,Sevilla,2018
3,Nicolas Tagliafico,DEF,25,7,Ajax,2018
4,Cristian Ansaldi,DEF,31,5,Torino,2018
6,Federico Fazio,DEF,31,9,Roma,2018
8,Marcos Acuña,DEF,26,11,SPORting de Portugal,2018
16,Marcos Rojo,DEF,28,58,Manchester United,2018
17,Nicolas Otamendi,DEF,30,57,Manchester City,2018
5,Lucas Biglia,MED,32,58,Milan,2018
7,Ever Banega,MED,29,64,Sevilla,2018
11,Angel Di Maria,MED,30,96,PSG,2018
13,Maximiliano Meza,MED,26,5,Independiente,2018
14,Javier Mascherano,MED,34,146,Hebei Fortune,2018
15,Enzo Perez,MED,32,25,River Plate,2018
18,Eduardo Salvio,MED,28,11,Benfica,2018
20,Giovani Lo Celso,MED,22,5,PSG,2018
22,Cristian Pavon,MED,22,8,Boca Juniors,2018
9,Gonzalo Higuain,DEL,30,75,Juventus,2018
10,Lionel Messi,DEL,30,127,Barcelona,2018
19,Sergio Aguero,DEL,30,88,Manchester City,2018
21,Paulo Dybala,DEL,24,13,Juventus,2018
24,Jorge Sampaoli,DT,,,,2018
