#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Alisson,POR,25,26,AS Roma,2018
2,Thiago Silva,DEF,33,71,Paris Saint-Germain,2018
3,João Miranda,DEF,33,47,Inter de Milan,2018
4,Pedro Geromel,DEF,32,2,Gremio,2018
5,Casemiro,MED,26,24,Real Madrid,2018
6,Filipe Luis,DEF,32,33,Atletico de Madrid,2018
7,Douglas Costa,DEL,27,25,Juventus,2018
8,Renato Augusto,MED,30,28,Beijing Sinobo Guoan,2018
9,Gabriel Jesus,DEL,21,17,Manchester City,2018
10,Neymar jr,DEL,26,85,Paris Saint-Germain,2018
11,Philippe Coutinho,MED,26,37,FC Barcelona,2018
12,Marcelo,DEF,30,54,Real Madrid,2018
13,Marquinhos,DEF,24,26,Paris Saint-Germain,2018
14,Danilo,DEF,26,18,Manchester City,2018
15,Paulinho,MED,29,50,FC Barcelona,2018
16,Cassio,POR,31,1,Corinthians,2018
17,Fernandinho,MED,33,44,Manchester City,2018
18,Fred,MED,25,8,Shakhtar Donetsk,2018
19,Willian,MED,29,57,Chelsea,2018
20,Roberto Firmino,DEL,26,21,Liverpool,2018
21,Taison,DEL,30,8,Shakhtar Donetsk,2018
22,Fagner,DEF,29,4,Corinthians,2018
23,Ederson,POR,24,1,Manchester City,2018
24,Tite,DT,,,,2018
