#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Kasper Schmeichel,POR,31,35,Leicester City,2018
2,Michael Krohn-Dehli,MED,35,59,Deportivo La Coruña,2018
3,Jannik Vestergaard,DEF,25,16,Borussia Monchengladbach,2018
4,Simon Kjær,DEF,29,78,Sevilla,2018
5,Jonas Knudsen,DEF,25,3,Ipswich Town,2018
6,Andreas Christensen,DEF,22,16,Chelsea,2018
7,William Kvist,MED,33,80,Copenhague,2018
8,Thomas Delaney,MED,26,27,Werder Bremen,2018
9,Nicolai Jørgensen,DEL,27,31,Feyenoord,2018
10,Christian Eriksen,MED,26,78,Tottenham Hotspur,2018
11,Martin Braithwaite,DEL,27,20,Girondins de Burdeos,2018
12,Kasper Dolberg,DEL,20,6,Ajax,2018
13,Mathias Jørgensen,DEF,28,12,Huddersfield Town,2018
14,Henrik Dalsgaard,DEF,28,11,Brentford,2018
15,Viktor Fischer,DEL,24,19,Copenhague,2018
16,Jonas Lossl,POR,29,1,Huddersfield Town,2018
17,Jens Stryger Larsen,DEF,27,13,Udinese,2018
18,Lukas Lerager,MED,24,4,Girondins de Burdeos,2018
19,Lasse Schone,MED,32,36,Ajax,2018
20,Yussuf Poulsen,DEL,23,28,RB Leipzig,2018
21,Andreas Cornelius,DEL,25,18,Atalanta,2018
22,Frederik Rønnow,POR,25,6,Brøndby,2018
23,Pione Sisto,DEL,23,14,Celta de Vigo,2018
24,Åge Hareide,DT,,,,2018
