#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Alireza Beiranvand,POR,25,22,Persepolis,2018
2,Mehdi Torabi,MED,23,17,Saipa,2018
3,Ehsan Hajsafi,DEF,28,94,Olympiacos,2018
4,Rouzbeh Cheshmi,DEF,24,10,Esteghlal,2018
5,Milad Mohammadi,DEF,25,19,Ajmat Grozni,2018
6,Saeid Ezatolahi,MED,21,25,Amkar Perm,2018
7,Masoud Shojaei,MED,34,74,AEK Atenas,2018
8,Morteza Pouraliganji,DEF,26,27,Al-Sadd,2018
9,Omid Ebrahimi,MED,30,30,Esteghlal,2018
10,Karim Ansarifard,DEL,28,64,Olympiacos,2018
11,Vahid Amiri,MED,30,36,Persepolis,2018
12,Mohammad Rashid Mazaheri,POR,29,3,Zob Ahan,2018
13,Mohammad Reza Khanzadeh,DEF,27,11,Padideh,2018
14,Saman Ghoddos,DEL,24,8,Ostersund,2018
15,Pejman Montazeri,DEF,34,46,Esteghlal,2018
16,Reza Ghoochannejhad,DEL,30,43,Heerenveen,2018
17,Mehdi Taremi,DEL,25,26,Al-Gharafa,2018
18,Alireza Jahanbakhsh,DEL,24,38,AZ,2018
19,Majid Hosseini,DEF,21,1,Esteghlal,2018
20,Sardar Azmoun,DEL,23,33,Rubin Kazan,2018
21,Ashkan Dejagah,DEL,31,46,Nottingham Forest,2018
22,Amir Abedzadeh,POR,25,1,Maritimo,2018
23,Ramin Rezaeian,DEF,28,28,Oostende,2018
24,Carlos Queiroz,DT,,,,2018
