#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Hannes Þor Halldorsson,POR,34,49,Randers FC,2018
2,Birkir Mar Sævarsson,DEF,33,79,Valur Reykjavik,2018
3,Samuel Friðjonsson,MED,22,4,Vålerenga,2018
4,Albert Guðmundsson,MED,20,5,PSV Eindhoven,2018
5,Sverrir Ingi Ingason,DEF,24,20,FC Rostov,2018
6,Ragnar Sigurðsson,DEF,31,77,FC Rostov,2018
7,Johann Berg Guðmundsson,MED,27,67,Burnley,2018
8,Birkir Bjarnason,MED,30,67,Aston Villa,2018
9,Bjorn Sigurðarson,DEL,27,12,FC Rostov,2018
10,Gylfi Sigurðsson,MED,28,57,Everton,2018
11,Alfreð Finnbogason,DEL,29,47,FC Augsburg,2018
12,Frederik Schram,POR,23,4,FC Roskilde,2018
13,Runar Alex Runarsson,POR,23,3,FC Nordsjælland,2018
14,Kari Arnason,DEF,35,67,Aberdeen,2018
15,Holmar Orn Eyjolfsson,DEF,27,10,Levski Sofia,2018
16,Olafur Ingi Skulason,MED,35,36,Kardemir Karabukspor,2018
17,Aron Gunnarsson,MED,29,77,Cardiff City,2018
18,Horður Bjorgvin Magnusson,DEF,25,16,Bristol City,2018
19,Rurik Gislason,MED,30,47,SV Sandhausen,2018
20,Emil Hallfreðsson,MED,33,64,Udinese,2018
21,Arnor Ingvi Traustason,MED,25,19,Malmo,2018
22,Jon Daði Boðvarsson,DEL,26,38,Reading,2018
23,Ari Freyr Skulason,DEF,31,56,KSC Lokeren,2018
24,Heimir Hallgrimsson,DT,,,,2018
