#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Jaime Penedo,POR,36,131,Dinamo București,2018
2,Michael Amir Murillo,DEF,22,22,New York Red Bulls,2018
3,Harold Cummings,DEF,26,52,San Jose Earthquakes,2018
4,Fidel Escobar,DEF,23,23,New York Red Bulls,2018
5,Roman Torres,DEF,32,111,Seattle Sounders,2018
6,Gabriel Gomez,MED,34,144,Atletico Bucaramanga,2018
7,Blas Perez,DEL,37,118,Municipal,2018
8,Edgar Barcenas,MED,24,29,Cafetaleros de Tapachula,2018
9,Gabriel Torres,DEL,29,72,Huachipato,2018
10,Ismael Diaz,DEL,21,11,Deportivo Fabril,2018
11,Armando Cooper,MED,30,98,Universidad de Chile,2018
12,Jose Calderon,POR,32,31,Chorrillo,2018
13,Adolfo Machado,DEF,33,76,Houston Dynamo,2018
14,Valentin Pimentel,MED,27,23,Plaza Amador,2018
15,Erick Davis,DEF,27,38,Dunajska Streda,2018
16,Abdiel Arroyo,DEL,24,33,Alajuelense,2018
17,Luis Ovalle,DEF,29,25,CD Olimpia,2018
18,Luis Tejada,DEL,36,105,Sport Boys,2018
19,Ricardo Avila,MED,21,5,KAA Gent,2018
20,Anibal Godoy,MED,28,59,San Jose Earthquakes,2018
21,Jose Luis Rodriguez,MED,19,2,KAA Gent,2018
22,Alex Rodriguez,POR,27,6,San Francisco,2018
23,Felipe Baloy,DEF,37,102,Municipal,2018
24,Hernan Dario Gomez,DT,,,,2018
