#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Pedro Gallese,POR,28,,Veracruz (MEX),2018
12,Carlos Caceda,POR,27,,Deportivo Municipal (PER),2018
21,Jose Carvallo,POR,32,,UTC (PER),2018
2,Alberto Rodriguez,DEF,34,,Atletico Junior (COL),2018
3,Aldo Corzo,DEF,29,,Universitario (PER),2018
4,Anderson Santamaria,DEF,26,,Puebla (MEX),2018
5,Miguel Araujo,DEF,24,,Alianza Lima (PER),2018
6,Miguel Trauco,DEF,26,,Flamengo (BRA),2018
15,Christian Ramos,DEF,30,,Veracruz (MEX),2018
17,Luis Advincula,DEF,28,,Lobos BUAP (MEX),2018
22,Nilson Loyola,DEF,24,,FBC Melgar (PER),2018
7,Paolo Hurtado,MED,28,,Vitoria de Guimarães (POR),2018
8,Christian Cueva,MED,27,,San Pablo (BRA),2018
13,Renato Tapia,MED,23,,Feyenoord (HOL),2018
14,Andy Polo,MED,24,,Portland Timbers (USA),2018
16,Wilder Cartagena,MED,24,,Veracruz (MEX),2018
19,Yoshimar Yotun,MED,28,,Orlando City (USA),2018
23,Pedro Aquino,MED,23,,Leon (MEX),2018
9,Paolo Guerrero,DEL,34,,Flamengo (BRA),2018
10,Jefferson Farfan,DEL,34,,Lokomotiv Moscu (RUS),2018
11,Raul Ruidiaz,DEL,28,,Monarcas Morelia (MEX),2018
18,Andre Carrillo,DEL,27,,Watford (ING),2018
20,Edison Flores,DEL,24,,Aalborg BK (DIN),2018
24,Ricardo Gareca,DT,,,,2018
