#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Wojciech Szczęsny,POR,28,34,Juventus,2018
2,Michał Pazdan,DEF,30,32,Legia Varsovia,2018
3,Artur Jędrzejczyk,DEF,30,35,Legia Varsovia,2018
4,Thiago Cionek,DEF,32,18,SPAL Ferrara,2018
5,Jan Bednarek,DEF,22,2,Southampton,2018
6,Jacek Goralski,MED,25,4,Ludogorets Razgrad,2018
7,Arkadiusz Milik,DEL,24,39,SSC Napoli,2018
8,Karol Linetty,MED,24,20,Sampdoria,2018
9,Robert Lewandowski,DEL,29,94,Bayern Munich,2018
10,Grzegorz Krychowiak,MED,28,50,West Bromwich Albion,2018
11,Kamil Grosicki,MED,30,57,Hull City,2018
12,Bartosz Białkowski,POR,30,1,Ipswich Town,2018
13,Maciej Rybus,MED,28,50,Lokomotiv Moscu,2018
14,Łukasz Teodorczyk,DEL,27,16,RSC Anderlecht,2018
15,Kamil Glik,DEF,30,57,AS Monaco,2018
16,Jakub Błaszczykowski,MED,32,98,VfL Wolfsburg,2018
17,Sławomir Peszko,MED,33,43,Lechia Gdańsk,2018
18,Bartosz Bereszyński,DEF,25,7,Sampdoria,2018
19,Piotr Zieliński,MED,24,32,SSC Napoli,2018
20,Łukasz Piszczek,DEF,33,62,Borussia Dortmund,2018
21,Rafał Kurzawa,MED,25,3,Gornik Zabrze,2018
22,Łukasz Fabiański,POR,33,44,Swansea City,2018
23,Dawid Kownacki,DEL,21,1,Sampdoria,2018
24,Adam Nawałka,DT,,,,2018
