#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Vladimir Stojković,POR,34,81,Partizan de Belgrado,2018
2,Antonio Rukavina,DEF,34,47,Villarreal,2018
3,Duško Tošić,DEF,33,24,Beşiktaş,2018
4,Luka Milivojević,MED,27,28,Crystal Palace,2018
5,Uroš Spajić,DEF,25,5,RSC Anderlecht,2018
6,Branislav Ivanović,DEF,34,103,Zenit Saint Petersburg,2018
7,Andrija Živković,MED,21,10,Benfica,2018
8,Aleksandar Prijović,DEL,28,9,PAOK Salonica,2018
9,Aleksandar Mitrović,DEL,23,37,Fulham,2018
10,Dušan Tadić,MED,29,53,Southampton,2018
11,Aleksandar Kolarov,DEF,32,76,AS Roma,2018
12,Predrag Rajković,POR,22,8,Maccabi Tel Aviv,2018
13,Miloš Veljković,DEF,22,2,Werder Bremen,2018
14,Milan Rodić,DEF,27,1,Estrella Roja de Belgrado,2018
15,Nikola Milenković,DEF,20,3,Fiorentina,2018
16,Marko Grujić,MED,22,8,Cardiff City,2018
17,Filip Kostić,MED,25,23,Hamburgo SV,2018
18,Nemanja Radonjić,DEL,22,3,Estrella Roja de Belgrado,2018
19,Luka Jović,DEL,20,1,Eintracht Frankfurt,2018
20,Sergej Milinković-Savić,MED,23,4,SS Lazio,2018
21,Nemanja Matić,MED,29,40,Manchester United,2018
22,Adem Ljajić,MED,26,29,Torino,2018
23,Marko Dmitrović,POR,26,2,Eibar,2018
24,Mladen Krstajić,DT,,,,2018
