#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Boubacar Barry,POR,30,45,Lokeren,2010
2,Benjamin Angoua,DEF,23,7,Valenciennes FC,2010
3,Arthur Boka,DEF,27,54,Stuttgart,2010
4,Kolo Toure,DEF,29,76,Manchester City,2010
5,Didier Zokora,MED,29,80,Sevilla FC,2010
6,Steve Gohouri,DEF,29,11,Wigan Athletic,2010
7,Seydou Doumbia,DEL,22,20,CSKA Moscu,2010
8,Salomon Kalou,DEL,24,27,Chelsea,2010
9,Cheick Tiote,MED,23,8,FC Twente,2010
10,Gervinho,MED,23,13,Lille OSC,2010
11,Didier Drogba,DEL,32,27,Chelsea,2010
12,Jean-Jacques Gosso,MED,27,6,AS Monaco,2010
13,Romaric,MED,27,38,Sevilla FC,2010
14,Emmanuel Kone,MED,23,12,International Curtea de Arges,2010
15,Aruna Dindane,DEL,29,54,Lekhwiya SC,2010
16,Aristide Zogbo,POR,28,6,Maccabi Netanya,2010
17,Siaka Tiene,DEF,28,52,Valenciennes FC,2010
18,Abdul Kader Keita,MED,28,55,Galatasaray,2010
19,Yaya Toure,MED,27,45,FC Barcelona,2010
20,Guy Demel,DEF,28,26,Hamburgo SV,2010
21,Emmanuel Eboue,DEF,27,51,Arsenal FC,2010
22,Souleymane Bamba,DEF,25,19,Hibernian FC,2010
23,Daniel Yeboah,POR,25,7,ASEC Mimosas,2010
24,Sven-Goran Eriksson,DT,,,,
