#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Thomas Sørensen,POR,33,86,Stoke City,2010
2,Christian Poulsen,MED,30,73,Juventus,2010
3,Simon Kjær,DEF,21,9,Palermo,2010
4,Daniel Agger,DEF,25,31,Liverpool FC,2010
5,William Kvist,MED,25,13,FC Copenhague,2010
6,Lars Jacobsen,DEF,30,30,Blackburn Rovers,2010
7,Daniel Jensen,MED,30,48,Werder Bremen,2010
8,Jesper Grønkjær,DEL,32,77,FC Copenhague,2010
9,Jon Dahl Tomasson,DEL,33,109,Feyenoord,2010
10,Martin Jorgensen,DEL,30,146,ACF Fiorentina,2010
11,Nicklas Bendtner,DEL,22,32,Arsenal FC,2010
12,Thomas Kahlenberg,MED,27,31,VfL Wolfsburgo,2010
13,Per Krøldrup,DEF,30,29,ACF Fiorentina,2010
14,Jakob Poulsen,MED,26,12,AGF Aarhus,2010
15,Simon Poulsen,DEF,26,4,AZ Alkmaar,2010
16,Stephan Andersen,POR,28,6,Brøndby IF,2010
17,Mikkel Beckmann,DEL,26,4,Randers FC,2010
18,Søren Larsen,DEL,28,18,Duisburgo,2010
19,Dennis RomMEDahl,DEL,31,95,Ajax amsterdam,2010
20,Thomas Enevoldsen,MED,22,5,FC Groningen,2010
21,Christian Eriksen,MED,18,3,Ajax amsterdam,2010
22,Jesper Christiansen,POR,32,11,FC Copenhague,2010
23,Patrick Mtiliga,DEF,29,3,Malaga CF,2010
24,Morten Olsen,DT,,,,
