#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Jan Mucha,POR,27,15,Legia de Varsovia,2010
2,Peter Pekarik,DEF,23,21,VfL Wolfsburgo,2010
3,Martin Škrtel,DEF,25,39,Liverpool FC,2010
4,Marek Čech,DEF,27,40,West Bromwich Albion,2010
5,Radoslav Zabavnik,DEF,29,44,1. FSV Maguncia 05,2010
6,Zdeno Štrba,MED,34,21,Xanthi Athlitikos Omilos,2010
7,Vladimir Weiss,MED,20,9,Manchester United,2010
8,Jan Kozak,MED,30,24,FC Timişoara,2010
9,Stanislav Šestak,DEL,27,33,Ankaragucu,2010
10,Marek Sapara,MED,27,25,Galatasaray,2010
11,Robert Vittek,DEL,28,70,Lille OSC,2010
12,Dušan Perniš,POR,25,3,Dundee United Football Club,2010
13,Filip Hološko,DEL,26,38,Estambul Başakşehir FK,2010
14,Martin Jakubko,DEL,30,24,FC Saturn Ramenskoye,2010
15,Miroslav Stoch,MED,20,12,FC Twente,2010
16,Jan Ďurica,DEF,28,38,FC Lokomotiv Moscu,2010
17,Marek Hamšik,MED,22,32,Napoli,2010
18,Erik Jendrišek,DEL,24,24,FC Schalke 04,2010
19,Juraj Kucka,MED,23,6,Athletic Club Sparta Praga,2010
20,Kamil Kopunek,MED,26,9,Spartak Trnava,2010
21,Kornel Salata,DEF,25,4,Slovan Bratislava,2010
22,Martin Petraš,DEF,30,38,AC Cesena,2010
23,Dušan Kuciak,POR,25,3,FC Vaslui,2010
24,Vladimir Weiss,DT,,,,
