#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Samir Handanovič,POR,25,39,Udinese,2010
2,Mišo Brečko,DEF,26,31,Koln,2010
3,Elvedin Džinič,DEF,24,0,NK Maribor,2010
4,Marko Šuler,DEF,27,17,Gent,2010
5,Boštjan Cesar,DEF,27,42,Grenoble Foot 38,2010
6,Branko Ilič,DEF,27,37,FC Moscu,2010
7,Nejc Pečnik,DEL,24,8,Nacional Madeira,2010
8,Robert Koren,MED,29,46,West Bromwich Albion,2010
9,Zlatan Ljubijankič,DEL,26,17,Gent,2010
10,Valter Birsa,MED,23,34,AJ Auxerre,2010
11,Milivoje Novakovič,DEL,31,38,Koln,2010
12,Jasmin Handanovič,POR,32,3,AC Mantova,2010
13,Bojan Jokić,DEF,24,34,Chievo Verona,2010
14,Zlatko Dedič,DEL,25,24,Bochum,2010
15,Rene Krhin,MED,20,4,Inter de Milan,2010
16,Aleksander Šeliga,POR,30,1,Sparta Rotterdam,2010
17,Andraž Kirm,MED,25,26,Wisla Cracovia,2010
18,Aleksandar Radosavljevič,MED,31,15,AE Larisa,2010
19,Suad Filekovič,DEF,31,13,NK Maribor,2010
20,Andrej Komac,MED,30,41,Maccabi Tel Aviv,2010
21,Dalibor Stevanovič,MED,25,15,SBV Vitesse,2010
22,Matej Mavrič,DEF,31,32,TuS Koblenz,2010
23,Tim Matavž,DEL,21,0,FC Groningen,2010
24,Matjaž Kek,DT,,,,
