#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Gianluigi Buffon,POR,32,102,Juventus,2010
2,Christian Maggio,DEF,28,76,Napoli,2010
3,Domenico Criscito,DEF,23,6,Genoa,2010
4,Giorgio Chiellini,DEF,25,32,Juventus,2010
5,Fabio Cannavaro,DEF,36,135,Juventus,2010
6,Daniele De Rossi,MED,27,53,Roma,2010
7,Simone Pepe,MED,26,15,Udinese,2010
8,Gennaro Gattuso,MED,32,72,Milan,2010
9,Vincenzo Iaquinta,DEL,31,36,Juventus,2010
10,Antonio Di Natale,DEL,32,11,Udinese,2010
11,Alberto Gilardino,DEL,27,73,Fiorentina,2010
12,Federico Marchetti,POR,27,9,Cagliari,2010
13,Salvatore Bocchetti,DEF,23,73,Genoa,2010
14,Morgan De Sanctis,POR,33,10,Napoli,2010
15,Claudio Marchisio,MED,24,11,Juventus,2010
16,Mauro Camoranesi,MED,33,41,Juventus,2010
17,Angelo Palombo,MED,28,36,Sampdoria,2010
18,Fabio Quagliarella,DEL,27,2,Napoli,2010
19,Gianluca Zambrotta,DEF,33,97,Milan,2010
20,Giampaolo Pazzini,DEL,25,15,Sampdoria,2010
21,Andrea Pirlo,MED,30,67,Milan,2010
22,Riccardo Montolivo,MED,25,73,Fiorentina,2010
23,Leonardo Bonucci,DEF,23,1,Bari,2010
24,Marcello Lippi,DT,,,,
