#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Thibaut Courtois,POR,22,,Atletico de Madrid,2014
2,Toby Alderweireld,DEF,25,,Atletico de Madrid,2014
3,Thomas Vermaelen,DEF,28,,Arsenal,2014
4,Vincent Kompany,DEF,28,,Manchester City,2014
5,Jan Vertonghen,DEF,27,,Tottenham Hotspur,2014
6,Axel Witsel,CEN,25,,Zenit San Petersburgo,2014
7,Kevin De Bruyne,CEN,22,,Wolfsburgo,2014
8,Marouane Fellaini,CEN,26,,Manchester United,2014
9,Romelu Lukaku,DEL,21,,Everton,2014
10,Eden Hazard,CEN,23,,Chelsea,2014
11,Kevin Mirallas,DEL,26,,Everton,2014
12,Simon Mignolet,POR,25,,Liverpool,2014
13,Sammy Bossut1,POR,28,,Zulte Waregem,2014
14,Dries Mertens,DEL,27,,Napoli,2014
15,Daniel van Buyten,DEF,36,,Bayern de Munich,2014
16,Steven DEFour,CEN,26,,PORto,2014
17,Divock Origi,DEL,19,,Lille,2014
18,Nicolas Lombaerts,DEF,29,,Zenit San Petersburgo,2014
19,Moussa Dembele,CEN,26,,Tottenham Hotspur,2014
20,Adnan Januzaj,DEL,19,,Manchester United,2014
21,Anthony Vanden Borre,DEF,26,,Anderlecht,2014
22,Nacer Chadli,CEN,24,,Tottenham Hotspur,2014
23,Laurent Ciman,DEF,28,,Standard Lieja,2014
24,Marc Wilmots,DT,,,,
