#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Asmir Begović,POR,26,30,Stoke City,2014
2,Avdija Vršajević,CEN,28,13,Hajduk Split,2014
3,Ermin Bičakčić,DEF,24,7,Eintracht Braunschweig,2014
4,Emir Spahić,DEF,33,74,Bayer 04 Leverkusen,2014
5,Sead Kolašinac,DEF,20,4,Schalke 04,2014
6,Ognjen Vranješ,DEF,24,13,ElazığsPOR,2014
7,MuhaMED Bešić,DEF,21,9,Ferencvaros,2014
8,Miralem Pjanić,CEN,24,28,Roma,2014
9,Vedad Ibišević,DEL,29,55,Stuttgart,2014
10,Zvjezdan Misimović,CEN,32,81,Guizhou Renhe,2014
11,Edin Džeko,DEL,28,62,Manchester City,2014
12,Jasmin Fejzić,POR,28,0,Aalen,2014
13,Mensur Mujdža,CEN,30,24,Friburgo,2014
14,Tino Sušić,CEN,22,2,Hajduk Split,2014
15,Toni Šunjić,DEF,25,7,Zorya Lugansk,2014
16,Senad Lulić,CEN,28,33,Lazio,2014
17,Senijad Ibričić,CEN,28,44,ErciyessPOR,2014
18,Haris MEDunjanin,CEN,29,35,GaziantepsPOR,2014
19,Edin Višća,DEL,24,10,Istanbul Başakşehir,2014
20,Izet Hajrović,CEN,22,8,Galatasaray,2014
21,Anel Hadžić,CEN,24,2,Sturm Graz,2014
22,Asmir Avdukić,POR,33,3,Borac Banja Luka,2014
23,Sejad Salihović,CEN,29,42,Hoffenheim,2014
24,Safet Sušić,DT,,,,
